,Landmark name,Date designated,Location,County,Description
1,Bellevue,"November 7 , 1973 ( # 72000400 )",La Grange 33°02′30″N 85°02′22″W / 33.04179°N 85.03955°W / 33.04179 ; -85.03955 ( Bellevue ),Troup,Historic home of Senator Benjamin Harvey Hill ; example of a Greek Revival domesticated temple
2,Stephen Vincent Benet House,"November 11 , 1971 ( # 71000286 )",Augusta 33°28′33″N 82°01′27″W / 33.47580°N 82.02407°W / 33.47580 ; -82.02407 ( Stephen Vincent Benet House ),Richmond,"Commandant 's home in Augusta Arsenal ; poet Stephen Vincent Benet lived and wrote here ; now Admissions Office , Summerville campus of Georgia Regents University"
3,Calhoun Mine,"November 7 , 1973 ( # 73002292 )",Dahlonega 34°33′43″N 83°59′09″W / 34.5619°N 83.9858°W / 34.5619 ; -83.9858 ( Calhoun Mine ),Lumpkin,"Property where gold was discovered in 1828 , playing a role in the calls for the Cherokee removal ; eventually owned by Senator John C. Calhoun of South Carolina"
4,Carmichael House,"November 7 , 1973 ( # 71000265 )",Macon 32°50′29″N 83°38′16″W / 32.84130°N 83.63765°W / 32.84130 ; -83.63765 ( Carmichael House ),Bibb,"Greek Revival house from the 1840s , with a spiral staircase in a central tower"
5,Central of Georgia Railroad Shops and Terminal,"December 8 , 1976 ( # 76000610 )",Savannah 32°04′33″N 81°06′05″W / 32.07571°N 81.10126°W / 32.07571 ; -81.10126 ( Central of Georgia Railroad Shops and Terminal ),Chatham,Complex of railroad facilities of the Central of Georgia Railroad
6,Chieftains,"November 11 , 1973 ( # 71000273 )",Rome 34°16′38″N 85°10′13″W / 34.27710°N 85.17019°W / 34.27710 ; -85.17019 ( Chieftains ),Floyd,Home of Cherokee Nation chief Major Ridge
7,College Hill,"November 11 , 1971 ( # 71000287 )",Augusta 33°28′03″N 82°00′55″W / 33.467364°N 82.015231°W / 33.467364 ; -82.015231 ( College Hill ),Richmond,"Home of George Walton , signer of Declaration of Independence"
8,Columbus Historic Riverfront Industrial District,"June 2 , 1978 ( # 78000995 )",Columbus 32°28′53″N 84°59′30″W / 32.48139°N 84.9917°W / 32.48139 ; -84.9917 ( Columbus Historic Riverfront Industrial District ),Muscogee,Four separated areas along the Chatahoochee River ; includes Columbus Iron Works
9,Dixie Coca-Cola Bottling Company Plant,"May 4 , 1983 ( # 77000428 )",Atlanta 33°45′16″N 84°23′03″W / 33.754353°N 84.384184°W / 33.754353 ; -84.384184 ( Dixie Coca-Cola Bottling Company Plant ),Fulton,"The building , now the home of Georgia State University 's Baptist Student Union , was the first place where Coca-Cola bottled its soda"
10,Dorchester Academy Boys ' Dormitory,"September 20 , 2006 ( # 86001371 )",Midway 31°48′02″N 81°27′56″W / 31.80056°N 81.46556°W / 31.80056 ; -81.46556 ( Dorchester Academy Boys ' Dormitory ),Liberty,Associated with the Southern Christian Leadership 's Citizen Education Program
