Name,Park,Type,Manufacturer,Opened
Abyss,Australia Adventure World,Euro-Fighter roller coaster,Gerstlauer,November 1
Crazy Bird,"People 's Republic of China Happy Valley , Tianjin",El Loco,S & S Worldwide,December 22
Coast Rider,United States Knott 's Berry Farm,Wild Mouse roller coaster,Mack Rides,May 25
Eldorado,Italy Etnaland,Steel roller coaster,S & S Worldwide,April 20
Fjord Flying Dragon,"People 's Republic of China Happy Valley , Tianjin",Wooden roller coaster,Martin & Vleminckx,July 27
Flying Turns,United States Knoebels Amusement Resort,Bobsled roller coaster,Knoebels Amusement Resort,October 5
Freedom Flyer,United States Fun Spot America,Suspended Family Coaster,Vekoma,June 8
Full Throttle,United States Six Flags Magic Mountain,Launched roller coaster,Premier Rides,June 22
GateKeeper,United States Cedar Point,Wing Coaster,Bolliger & Mabillard,May 11
Gold Striker,United States California 's Great America,Wooden roller coaster,Great Coasters International,May 31
Hip Hop Coaster,Italy Etnaland,Steel roller coaster,Zamperla,April 20
Juvelen,Denmark Djurs Sommerland,Launched roller coaster,Intamin,May 4
Karacho,Germany Erlebnispark Tripsdrill,Infinity roller coaster,Gerstlauer,July 10
Nitro,India Adlabs Imagica,Floorless roller coaster,Bolliger & Mabillard,October 15
Outlaw Run,United States Silver Dollar City,Wooden roller coaster,Rocky Mountain Construction,March 15
Rattenmühle,Austria Familypark Neusiedlersee,Steel roller coaster,Gerstlauer,June 7
The Smiler,England Alton Towers,Infinity roller coaster,Gerstlauer,May 31
Storm,Italy Etnaland,Megacoaster,Mack Rides,April 20
Storm Coaster,Australia Sea World,Water Coaster,Mack Rides,December 2
Undertow,United States Santa Cruz Beach Boardwalk,Spinning roller coaster,Maurer Söhne,October 19
