Husband,Wife,Years,Notes
Chris Adams,Toni Adams,1984-1994,Divorced
Tony Anthony,Kimberly Anthony,,Divorced
Steve Austin,Lady Blossom,1992-1999,Divorced
Steve Austin,Debra Marshall,2000-2003,Divorced
George Becker,Joyce Grable,1968-1999,Widowed
Chris Benoit,Nancy Benoit,2000-2007,Both died in murder-suicide
Brute Bernard,Betty Jo Hawkins,? -1984,Widowed
Booker T,Sharmell Sullivan,2005-,
Dagon Briggs,Seven Briggs,2004-,
Paul Christy,Bunny Love,c. 1975-,"Billed as pro wrestling 's Bonnie and Clyde , they become the first-ever husband and wife team to be honored by the Cauliflower Alley Club in 2005"
Jim Cornette,Synn,2007-,
Corsica Joe,Sara Lee,1963-2008,Widowed
Mike DiBiase,Helen Hild,1959-1969,Widowed
Tommy Dreamer,Beulah McGillicutty,2002-,
Ryan Eagles,Madison Eagles,2002-,
Aiden English,Raquel Diaz,2016-,
Germán Figueroa,Verónica Polera,2005-,
Robert Fuller,Miss Sylvia,1971-2005,Divorced
Jimmy Garvin,Precious,1977-,
Doug Gilbert,Kay Noble,1969- ?,Divorced
