Date,Co-Hosts,Guests/Segments
August 2,Kelly Ripa & Piers Morgan,"Eva Mendes , Rachel Zoe , Doggie Do 's and Don'ts Week"
August 3,Regis Philbin & Kelly Ripa,"Cat Deeley , Mike Posner , Doggie Do 's and Don'ts Week"
August 4,Regis Philbin & Kelly Ripa,"Will Ferrell , Doggie Do 's and Don'ts Week"
August 5,Regis Philbin & Kelly Ripa,"Christiane Amanpour , The Bachelorette , Doggie Do 's and Don'ts Week"
August 6,Regis Philbin & Kelly Ripa,"Dylan McDermott , Doggie Do 's and Don'ts Week , Coast-to-Coast Firehouse Cook-Off"
August 9,Kelly Ripa & Anderson Cooper,"Julia Roberts , Buddy Valastro"
August 10,Regis Philbin & Kelly Ripa,"Sylvester Stallone , Gabourey Sidibe"
August 11,Regis Philbin & Kelly Ripa,"Anthony Edwards , Jessica Szohr"
August 12,Regis Philbin & Kelly Ripa,"Jason Bateman , Chris Bosh"
August 13,Regis Philbin & Kelly Ripa,"Jimmy Fallon , Sara Rue , Coast-to-Coast Firehouse Cook-Off"
August 16,Regis Philbin & Kelly Ripa,"Jonah Hill , Jane Lynch and Sarah McLachlan"
August 17,Regis Philbin & Shannon Murphy,"Emma Thompson , Joey Lawrence , winner of So You Think You Can Dance"
August 18,Regis Philbin & Jayde Donovan,"Maggie Gyllenhaal , Yo Gabba Gabba ! , Hat Trends"
August 19,Regis Philbin & Kristin Cruz,"Jennifer Aniston , Kyle MacLachlan , Jordin Sparks"
August 20,Regis Philbin & Jenn Hobby,"Hayden Christensen , Melissa Joan Hart , Coast-to-Coast Firehouse Cook-Off"
