Date,Race Name,Location,UCI Rating,Winner,Team
8-21 January,Vuelta al Táchira,Venezuela,2.2,José Rujano ( VEN ),Colombia-Selle Italia
8 January,Copa América de Ciclismo,Brazil,1.2,Nilceu Santos ( BRA ),Scott-Marcondes Cesar
16-23 January,Tour do Brasil Volta Ciclística de São Paulo,Brazil,2.2,Jorge Giacinti ( ARG ),Memorial-Santos
8-20 February,Vuelta a Cuba,Cuba,2.2,Damian Martinez ( CUB ),Cuba ( national team )
10-20 February,Vuelta Ciclística por un Chile Líder,Chile,2.2,Edgardo Simón ( ARG ),Argentina ( national team )
9-13 March,Volta Ciclística Internacional Porto Alegre,Brazil,2.2,Jorge Giacinti ( ARG ),Memorial-Santos
18-27 March,Vuelta Ciclista al Uruguay,Uruguay,2.2,Álvaro Tardáguila ( URY ),Dolores CC
27 March-3 April,Vuelta a Chile,Chile,2.2,Edgardo Simón ( ARG ),Lider
31 March-3 April,Redlands Classic,United States,2.2,Chris Wherry ( USA ),Health Net-Maxxis
7-10 April,Tour of Puerto Rico,Puerto Rico,2.2,Wendy Cruz ( DOM ),Selezione di Santiago
14-16 April,Sea Otter Classic,United States,2.2,Doug Ollerenshaw ( USA ),Health Net-Maxxis
19-24 April,Tour de Georgia,United States,2.1,Tom Danielson ( USA ),Discovery Channel
24-29 April,Vuelta Ciclista a El Salvador,El Salvador,2.2,Cameron Hughes ( AUS ),Subway
25 April,Pan American Road and Track Championships - Time Trial,Brazil,CC,Edgardo Simón ( ARG ),Argentina ( national team )
30 April,Pan American Road and Track Championships - Road Race,Brazil,CC,John Parra ( COL ),Colombia ( national team )
12-15 May,Doble Sucre Potosi Grand Prix,Bolivia,2.2,Álvaro Sierra ( COL ),Orbitel
25-29 May,Volta do Paraná,Brazil,2.2,Mauricio Morandi ( BRA ),Scott-Marcondes Cesar
31 May,Wachovia Invitational,United States,1.1,Greg Henderson ( NZL ),Health Net-Maxxis
2 June,Wachovia Classic,United States,1.1,Gordon Fraser ( CAN ),Health Net-Maxxis
5 June,Wachovia USPRO Championship,United States,1.HC,Chris Wherry ( USA ),Health Net-Maxxis
