#,Title,Director,Year,Series
1,Herr Meets Hare,Friz Freleng,"January 13 , 1945",MM
2,Russian Rhapsody,Bob Clampett,"May 20 , 1944",MM
3,Daffy - The Commando,Friz Freleng,"November 20 , 1943",LT
4,Bosko the Doughboy,Hugh Harman,"October 17 , 1931",LT
5,Rookie Revue,Friz Freleng,"October 25 , 1941",MM
6,The Draft Horse,Chuck Jones,"May 9 , 1942",MM
7,Wacky Blackout,Bob Clampett,"July 11 , 1942",LT
8,The Ducktators,Norman McCabe,"August 1 , 1942",LT
9,The Weakly Reporter,Chuck Jones,"March 25 , 1944",MM
10,Fifth-Column Mouse,Friz Freleng,"March 6 , 1943",MM
11,Meet John Doughboy,Bob Clampett,"July 5 , 1941",LT
12,Hollywood Canine Canteen,Robert McKimson,"April 20 , 1946",MM
13,By Word of Mouse,Friz Freleng,"October 2 , 1954",LT
14,Heir-Conditioned,Friz Freleng,"November 26 , 1955",LT
15,Yankee Dood It,Friz Freleng,"October 13 , 1956",MM
