Disaster,Location,Deaths,Date,Notes
Bushfire,"Gippsland , Victoria",9,1932 Feb 4,"Locations affected included Gilderoy , Noojee and Erica in North Gippsland . Worst incident was at Erica where six people were killed"
Bushfire,"Longwood , Victoria",9,1965 Jan 17-19,Death toll included seven members of one family who were lost when their car crashed and was engulfed in the fires
Rail accident,"Violet Town , Victoria",9,1969 Feb 7,Violet Town rail accident . Head-on collision after driver died at controls
Fire,"Kings Cross , New South Wales",9,1981 Aug,Rembrandt Apartments Hostel Fire . Fire
Massacre,Melbourne,9,1987 Dec 8,Queen Street massacre . Shooting massacre
Air accident,"Williamtown , New South Wales - Lord Howe Island",9,1994 Oct 2,"Seaview Air Aero Commander 690 crashes between Williamtown , NSW and Lord Howe Island"
Fire,"Kew , Victoria",9,1996 Apr 8,Kew Cottages fire . Fire at a Melbourne home for the disabled kills nine men . Coronial inquest in 1997 finds there was no proper fire safety system in place at the time of the fire
Landslide,"Gracetown , Western Australia",9,1996 Sep 27,5 adults and 4 children died when a cliff face collapsed at Cowaramup Bay near Gracetown ( Margaret River )
Bushfire,"Eyre Peninsula , South Australia",9,2005 Jan 11,Eyre Peninsula bushfire
Storm,"Melbourne , Victoria",9,2016 Nov 21,"Nine people died of thunderstorm asthma and approximately 8,500 sought hospital treatment after a storm hit Melbourne"
Insurrection,Norfolk Island,8,1834 Jan 15,Convict mutiny . Six convicts and two guards killed . 11 convicts were later executed
Civil unrest,"Broome , Western Australia",8,1920 Dec 23-26,Broome Race Riots . Brawling and rioting between Japanese and Koepanger ( Malay & Timorese ) pearl divers
Air accident,"Snowy Mountains , New South Wales",8,1931 Mar 21,Southern Cloud
Air accident,"Jervis Bay , New South Wales",8,1943 Apr 14,Two RAAF Bristol Beauforts collided whilst performing demonstration flight for war correspondents on board a naval vessel
Bushfire,"Wandilo , South Australia",8,1958 Apr,8 firefighters died
Explosion,"Sandy Bay , Tasmania",8,1974 Sept 5,8 died when newly installed boiler at Mt . St. Canice laundry breached after transport interlocks were not removed from safety valves and boiler was subsequently fired
Bushfire,Western Victoria,8,1977 Feb,Around Streatham was the worst affected area
Road accident,"Near Gordonvale , Queensland",8,1987 Feb 4,Bus returning from school camp veered off-road . All of those lost were students of Cairns State High School aged 15-17 . 12 more people were seriously injured . Subsequent inquests ruled that faulty brakes on the vehicle were the cause of the accident
Cyclone,"Onslow & Carnarvon , Western Australia",8,1995 Feb 24-26,Cyclone Bobby . Seven of the deaths occurred when two fishing trawlers sank near Onslow
Air accident,"Off Whyalla , South Australia",8,2000 May 31,"Whyalla Airlines Disaster . All on board drowned , one body was never recovered"
