Pos,No,Driver,Constructor,Lap Time,Gap
1,8,Mika Häkkinen,McLaren - Mercedes,1:30.010,
2,7,David Coulthard,McLaren - Mercedes,1:30.053,+0.043
3,3,Michael Schumacher,Ferrari,1:30.767,+0.757
4,1,Jacques Villeneuve,Williams - Mecachrome,1:30.919,+0.909
5,15,Johnny Herbert,Sauber - Petronas,1:31.384,+1.374
6,2,Heinz-Harald Frentzen,Williams - Mecachrome,1:31.397,+1.387
7,5,Giancarlo Fisichella,Benetton - Playlife,1:31.733,+1.723
8,4,Eddie Irvine,Ferrari,1:31.767,+1.757
9,10,Ralf Schumacher,Jordan - Mugen-Honda,1:32.392,+2.382
10,9,Damon Hill,Jordan - Mugen-Honda,1:32.399,+2.389
11,6,Alexander Wurz,Benetton - Playlife,1:32.726,+2.716
12,14,Jean Alesi,Sauber - Petronas,1:33.240,+3.230
13,21,Toranosuke Takagi,Tyrrell - Ford,1:33.291,+3.281
14,18,Rubens Barrichello,Stewart - Ford,1:33.383,+3.373
15,12,Jarno Trulli,Prost - Peugeot,1:33.739,+3.729
16,17,Mika Salo,Arrows,1:33.927,+3.917
17,23,Esteban Tuero,Minardi - Ford,1:34.646,+4.636
18,19,Jan Magnussen,Stewart - Ford,1:34.906,+4.896
19,20,Ricardo Rosset,Tyrrell - Ford,1:35.119,+5.109
20,16,Pedro Diniz,Arrows,1:35.140,+5.130
