Name,Chartered,Institution,Location
Theta Alpha,1971,Northwestern University and National-Louis University,"Evanston , Illinois"
Theta Beta,1971,Pittsburgh City-Wide undergraduate,"Pittsburgh , Pennsylvania"
Theta Gamma,1971,Stephen F. Austin State University,"Nacogdoches , Texas"
Theta Delta,"February 13 , 1971",Illinois State University,"Normal , Illinois"
Theta Epsilon,1971,Bradley University,"Peoria , Illinois"
Theta Zeta,1971,Eastern Illinois University,"Charleston , Illinois"
Theta Eta,"April 3 , 1971",Cleveland City-Wide,"Cleveland , Ohio"
Theta Theta,"April 24 , 1971",Central Michigan University,"Mount Pleasant , Michigan"
Theta Iota,1971,University of North Carolina at Wilmington,"Wilmington , North Carolina"
Theta Kappa,1971,Jarvis Christian College,"Hawkins , Texas"
Theta Lambda,1971,,"Emporia , Kansas"
Theta Mu,1971,Oklahoma State University,"Stillwater , Oklahoma"
Theta Nu,"May 8 , 1971",Texas A & M University-Commerce,"Commerce , Texas"
Theta Xi,April 1971,University of Louisiana at Lafayette,"Lafayette , Louisiana"
Theta Omicron,1971,Culver-Stockton College,"Canton , Missouri"
Theta Pi,1971,Rust College,"Holly Springs , Mississippi"
Theta Rho,1971,University of Tennessee at Chattanooga,"Chattanooga , Tennessee"
Theta Sigma Original,1924,Chicago Alumnae,"Chicago , Illinois"
Theta Sigma,1971,Georgia Southwestern State University,"Americus , Georgia"
Theta Tau,"May 28 , 1971",Valdosta State University,"Valdosta , Georgia"
