Year,Title,Role,Other cast members,Notes
1947,The Sir Charles Mendl Show,Herself,Host : Sir Charles Mendl,
1953,Toast of the Town,Herself,Host : Ed Sullivan,Episode # 6.33
1954,26th Academy Awards,Herself,"Host : Donald O'Connor , Fredric March",Presenter : Costume Design Awards
1957,What 's My Line ?,Herself,Host : John Charles Daly,"Episode : August 25 , Mystery guest"
1960,General Electric Theater,Ellen Galloway,Host : Ronald Reagan,Episode : Journey to a Wedding
1969,The F.B.I,Faye Simpson,"Efrem Zimbalist , Jr",Episode : Conspiracy of Silence
1969,Daughter of the Mind,Lenore Constable,Ray Milland,TV movie
1974,The Merv Griffin Show,Herself,Host : Merv Griffin,
1979,The Merv Griffin Show,Herself,Host : Merv Griffin,
1980,The Tonight Show Starring Johnny Carson,Herself,Host : Johnny Carson,
1980,The Mike Douglas Show,Herself,Host : Mike Douglas,
1980,Dinah !,Herself,Host : Dinah Shore,
1980,Scruples,Harriet Toppington,Lindsay Wagner,TV miniseries
1999,Biography,Herself ( archive material ),Host : Peter Graves,"Gene Tierney : A Shattered Portrait , biographical documentary , March 26"
