Medal,Name,Sport,Event,Date
Gold,Song Jong-hun,Fencing,Cadet Male Sabre,15 Aug
Gold,Chang Gyu-cheol,Swimming,Youth Men 's 100m Butterfly,17 Aug
Gold,Seo Byeong-deok,Taekwondo,Men 's 63kg,17 Aug
Gold,Jeon Soo-yeon,Taekwondo,Women 's 63kg,18 Aug
Gold,Kim Jin-hak,Taekwondo,Men 's 73kg,18 Aug
Gold,Kwak Ye-ji,Archery,Junior Women 's Individual,20 Aug
Gold,Bae Seul-bi,Judo,Girls ' 44kg,21 Aug
Gold,Kim Dae-beom,Modern Pentathlon,Boys ' Individual,22 Aug
Gold,Lee Jae-hyung,Judo,Boys ' 81kg,22 Aug
Gold,Kim Jang-mi,Shooting,10m Air Pistol Women Junior,23 Aug
Gold,Go Do-won,Shooting,10m Air Rifle Women Junior,25 Aug
Silver,Moon Jin-ju,Wrestling,Women 's Freestyle 70kg,16 Aug
Silver,Chang Gyu-cheol,Swimming,Youth Men 's 50m Butterfly,19 Aug
Silver,Boys ' Handball Team Choi Himin Choi Hyeon Keun Ha Min Ho Hwang Do Yeop Jang Insung Kim Mingyu Lee Han Sol Lee Hyeon Sik Lee Jeong Hwa Lim Seung Hoon Oh Sang Hwan Park Hyung Geon Yoo Hyun Ki Yoo Sung Kyoung,Handball,Men,25 Aug
Silver,Kim Dong-hyun Yang Ha-Eun,Table tennis,Mixed team,26 Aug
Bronze,Lee Kwang-hyun,Fencing,Cadet Male Foil,17 Aug
Bronze,Kang Ji-wook,Badminton,Boys ' Singles,19 Aug
Bronze,Yang Ha-eun,Table tennis,Women 's Singles,23 Aug
Bronze,Choi Dae-han,Shooting,10m Air Pistol Men Junior,24 Aug
Bronze,Bae Seul-bi,Judo,Mixed Team,25 Aug
