Season,Winner,Score,Runner-up,Venue,Attendance
1921-22,St. James 's Gate,1 - 1 / 1 - 0 ( R ),Shamrock Rovers,Dalymount Park / Dalymount Park,"15,000 / 10,000"
1922-23,Alton United,1 - 0,Shelbourne,Dalymount Park,"14,000"
1923-24,Athlone Town,1 - 0,Fordsons,Dalymount Park,"18,000"
1924-25,Shamrock Rovers,2 - 1,Shelbourne,Dalymount Park,"23,000"
1925-26,Fordsons,3 - 2,Shamrock Rovers,Dalymount Park,"25,000"
1926-27,Drumcondra,1 - 1 / 1 - 0 ( R ),Brideville,Dalymount Park / Shelbourne Park,"25,000 / 10,000"
1927-28,Bohemians,2 - 1,Drumcondra,Dalymount Park,"25,000"
1928-29,Shamrock Rovers,0 - 0 / 3 - 0 ( R ),Bohemians,Dalymount Park / Shelbourne Park,"22,000 / 15,000"
1929-30,Shamrock Rovers,1 - 0,Brideville,Dalymount Park,"17,000"
1930-31,Shamrock Rovers,1 - 1 / 1 - 0 ( R ),Dundalk,Dalymount Park / Dalymount Park,"20,000 / 10,000"
1931-32,Shamrock Rovers,1 - 0,Dolphin,Dalymount Park,"32,000"
1932-33,Shamrock Rovers,3 - 3 / 3 - 0 ( R ),Dolphin,Dalymount Park / Dalymount Park,"22,000 / 18,000"
1933-34,Cork,2 - 1,St. James 's Gate,Dalymount Park,"21,000"
1934-35,Bohemians,4 - 3,Dundalk,Dalymount Park,"22,000"
1935-36,Shamrock Rovers,2 - 1,Cork,Dalymount Park,"30,946"
1936-37,Waterford,2 - 1,St. James 's Gate,Dalymount Park,"24,000"
1937-38,St. James 's Gate,2 - 1,Dundalk,Dalymount Park,"30,000"
1938-39,Shelbourne,1 - 1 / 1 - 0 ( R ),Sligo Rovers,Dalymount Park / Dalymount Park,"30,000 / 25,000"
1939-40,Shamrock Rovers,3 - 0,Sligo Rovers,Dalymount Park,"38,509"
1940-41,Cork United,2 - 2 / 3 - 1 ( R ),Waterford,Dalymount Park / Dalymount Park,"30,132 / 13,057"
