Rank,Country,Team,Time
1,Kenya,Godfrey Kiprotich Shem Kororia Andrew Masai,3:03:36
2,Mexico,Germán Silva Martín Pitayo Benjamin Paredes,3:03:47
3,Morocco,Khalid Skah Salah Hissou Abdel Kader El-Mouaziz,3:05:58
4,Zimbabwe,Tendai Chimusasa Samson Dingani Brighton Chipere,3:06:59
5,Ethiopia,Bedilu Kibret Addis Abebe Kidane Gebrmichael,3:07:04
6,Brazil,Ronaldo da Costa Luíz dos Santos Tomix da Costa,3:07:47
7,Russia,Yuriy Chizhov Aleksey Korobov Andrey Tikhonov,3:09:41
8,Portugal,Fernando Couto João Lopes José Dias,3:09:42
9,Germany,Carsten Eich Michael Scheytt Konrad Dobler,3:09:44
10,France,Paul Arpin Pascal Clouvel Christopher Campagne,3:10:00
11,South Africa,Meshack Mogotsi Adam Motlagale Simon Morolong,3:10:15
12,Great Britain,Martin McLoughlin Carl Udall Andrew Pearson,3:10:51
13,Algeria,Kamal Kohil Mahieddine Belhadj Tayeb Kalloud,3:11:14
14,Djibouti,Talal Omar Abdillahi Omar Daher Ghadid Mohamed Abdi Said,3:11:23
15,Zambia,Fackson Nkandu Francis Mukuka Peter Sichula,3:11:32
16,Japan,Keita Fujino Kenjiro Jitsui Kiyoji Hayashi,3:12:12
17,United States,Daniel Held Joseph LeMay Dan Nelson,3:12:23
18,Kyrgyzstan,Arkadiy Tolstyn/Nikitin Vladimir Kiselyov Nazirdin Akylbekov,3:14:55
19,Israel,Ayele Setegne Asaf Bimro Amit Neʼeman,3:16:25
20,Switzerland,Arnold Mächler Markus Gerber Markus Graf,3:16:41
