Season,Winner,Runner-up,Third
1955 Oslo,Karla Kienzl ( AUT ),Maria Isser ( AUT ),Marianne Bauer ( FRG )
1957 Davos,Maria Isser ( AUT ),Helga Müller ( FRG ),Brigitte Fink ( ITA )
1958 Krynica,Maria Semczyszak ( POL ),Helena Boettcher ( POL ),Barbara Gorgoń ( POL )
1959 Villard-de-Lans,Elly Lieber ( AUT ),Maria Isser ( AUT ),Agnes Neuerer ( AUT )
1960 Garmisch-Partenkirchen,Maria Isser ( AUT ),Hannelore Possmoser ( AUT ),Erika Leitner ( ITA )
1961 Girenbad,Elisabeth Nagele ( SUI ),Marianne Winkler ( FRG ),Helene Thurner ( AUT )
1962 Krynica,Ilse Geisler ( GDR ),Gerda Rieser-Cegnar ( AUT ),Danuta Nycz ( POL )
1963 Imst,Ilse Geisler ( GDR ),Helene Thurner ( AUT ),Janina Susczewska ( POL )
1965 Davos,Ortrun Enderlein ( GDR ),Petra Tierlich ( GDR ),Ilse Geisler ( GDR )
1967 Hammarstrand,Ortrun Enderlein ( GDR ),Petra Tierlich ( GDR ),Helene Thurner ( AUT )
1969 Königssee,Petra Tierlich ( GDR ),Anna-Maria Müller ( GDR ),Christa Schmuck ( FRG )
1970 Königssee,Barbara Piecha ( POL ),Christa Schmuck ( FRG ),Elisabeth Demleitner ( FRG )
1971 Olang,Elisabeth Demleitner ( FRG ),Erica Lechner ( ITA ),Barbara Piecha ( POL )
1973 Oberhof,Margit Schumann ( GDR ),Ute Rührold ( GDR ),Eva-Maria Wernicke ( GDR )
1974 Königssee,Margit Schumann ( GDR ),Elisabeth Demleitner ( FRG ),Ute Rührold ( GDR )
1975 Hammarstrand,Margit Schumann ( GDR ),Ute Rührold ( GDR ),Dana Spálenská ( TCH )
1977 Innsbruck,Margit Schumann ( GDR ),Vera Zozulya ( URS ),Margit Graf ( AUT )
1978 Imst,Vera Zozulya ( URS ),Andrea Fendt ( FRG ),Angelika Schafferer ( AUT )
1979 Königssee,Melitta Sollmann ( GDR ),Elisabeth Demleitner ( FRG ),Marie-Louise Rainer ( ITA )
1981 Hammarstrand,Melitta Sollmann ( GDR ),Cerstin Schmidt ( GDR ),Vera Zozulya ( URS )
