Club,Location,Stadium,Capacity,Manager,Captain
FC Honka,Espoo,Tapiolan Urheilupuisto,"6,000",Mika Lehkosuo,Tapio Heikkilä
FC Inter,Turku,Veritas Stadion,"10,000",Job Dragtsma,Henri Lehtonen
FC Lahti,Lahti,Lahden Stadion,"15,000",Tommi Kautonen,Mikko Hauhia
FF Jaro,Jakobstad,Jakobstads Centralplan,"5,000",Alexei Eremenko Sr,Heikki Aho
Haka,Valkeakoski,Tehtaan kenttä,"3,516",Juha Malinen,Shane Robinson
HJK,Helsinki,Sonera Stadium,"10,770",Antti Muurinen,Ville Wallén
JJK,Jyväskylä,Harjun stadion,"3,000",Kari Martonen,Janne Korhonen
KuPS,Kuopio,Savon Sanomat Areena,"5,000",Esa Pekonen,Pyry Kärkkäinen
IFK Mariehamn,Mariehamn,Wiklöf Holding Arena,"4,000",Pekka Lyyski,Jani Lyyski
MYPA,Kouvola,Saviniemi,"4,167",Toni Korkeakunnas,Tuomas Aho
TPS,Turku,Veritas Stadion,"10,000",Marko Rajamäki,Toni Kolehmainen
VPS,Vaasa,Hietalahti Stadium,"4,600",Olli Huttunen,Sebastian Strandvall
