Time,Swimmer,Date,Place
2:07.93,Nick Gillingham,"October 20 , 1991","Birmingham , United Kingdom"
2:07.80,Philip Rogers,"August 28 , 1993","Melbourne , Australia"
2:07.79,Andrey Korneyev,"March 28 , 1998","Paris , France"
2:07.59,Roman Sloudnov,"March 19 , 2000","Athens , Greece"
2:06.40,Ed Moses,"March 25 , 2000","Minneapolis , United States"
2:04.37,Ed Moses,"January 18 , 2002","Paris , France"
2:03.28,Ed Moses,"January 22 , 2002","Stockholm , Sweden"
2:03.17,Ed Moses,"January 26 , 2002","Berlin , Germany"
2:02.92,Ed Moses,"January 17 , 2004","Berlin , Germany"
2:01.98,Christian Sprenger,"August 10 , 2009","Hobart , Australia"
2:00.67,Dániel Gyurta,"December 13 , 2009","Istanbul , Turkey"
2:00.48,Dániel Gyurta,"August 31 , 2014","Dubai , United Arab Emirates"
2:00.44,Marco Koch,"November 20 , 2016","Berlin , Germany"
2:00.16,Kirill Prigoda,"December 13 , 2018","Hangzhou , China"
