Release,Title,System,Developer / Publisher
January 1,Battle Arena Toshinden,PS1,Tamsoft / SCEA
January 13,Bust-a-Move,SNES,Taito
February 15,Star Wars : Dark Forces,DOS,LucasArts
February 16,Ristar,SMD,Sonic Team / Sega
February 24,Front Mission,SNES,G-Craft\ Squaresoft
March 10,Panzer Dragoon,Sat,Team Andromeda \ Sega
March 11,Chrono Trigger,SNES,Square
March 14,Mario 's Picross,GB,Jupiter \ Nintendo
March 17,Descent,DOS,Parallax Software
March 21,Kirby 's Dream Land 2,GB,HAL Laboratory \ Nintendo
March 24,Mega Man 7,SNES,Capcom
April 15,Mortal Kombat 3,Arcade,
April 27,Jumping Flash !,PS1,Exact/ SCEA
April 28,Super Bomberman 3,SNES,Hudson Soft
April 30,Full Throttle,"DOS , Win , Mac",LucasArts
May 25,Light Crusader,SMD,Treasure \ Sega
May,King Arthur & the Knights of Justice,SNES,Enix
June 5,EarthBound,SNES,"Ape , Inc. / Nintendo"
June 5,Street Fighter Alpha,Arcade,Capcom
June 7,Flight Unlimited,"DOS , Win95",Looking Glass Studios
