Name,No . Specimens,Abbr,Country,City
"Herbarium of the Balkan Peninsula , Natural History Museum","490,000",BEO,Serbia,Belgrade
Goulandris Natural History Museum,"180,000",ATH,Greece,Kifissia
"Herbarium Croaticum , University of Zagreb","180,000",ZA,Croatia,Zagreb
University of Belgrade,"150,000",BEOU,Serbia,Belgrade
University of Ljubljana,"150,000",LJU,Slovenia,Ljubljana
University of Patras,"150,000",UPA,Greece,Patras
National and Kapodistrian University of Athens,"117,000",ATHU,Greece,Athens
Zemaljski Muzej Bosne I. Herzegovine,"110,000",SARA,Bosnia and Herzegovina,Sarajevo
"Herbarium Ivo and Marija Horvat , University of Zagreb","78,000",ZAHO,Croatia,Zagreb
University of Novi Sad,"60,000",BUNS,Serbia,Novi Sad
Prirodoslovni Muzej Slovenije,"50,000",LJM,Slovenia,Ljubljana
Aristotle University of Thessaloniki,"30,000",TAU,Greece,Thessaloniki
Rudjer Boskovic Institute,"20,000",ADRZ,Croatia,Zagreb
Croatian Mycological Society,"20,000",CNF,Croatia,Zagreb
"Herbar Biokovskog Podrucja , Institut Planina i More","20,000",MAKAR,Croatia,Makarska
Agricultural University of Athens,"15,000",ACA,Greece,Athens
