Opponent,S,Occurrences,GP,Rec,%
Pittsburgh Penguins,5,"2007 , 2008 , 2010 , 2013 , 2017",27,1-4,.200
Buffalo Sabres,4,"1997 , 1999 , 2006 , 2007",21,1-3,.250
Toronto Maple Leafs,4,"2000 , 2001 , 2002 , 2004",24,0-4,.000
New Jersey Devils,3,"1998 , 2003 , 2007",18,2-1,.667
Philadelphia Flyers,2,"2002 , 2003",11,2-0,1.000
Montreal Canadiens,2,"2013 , 2015",11,1-1,.500
New York Rangers,2,"2012 , 2017",13,1-1,.500
Boston Bruins,1,2017,6,1-0,1.000
New York Islanders,1,2003,5,1-0,1.000
Tampa Bay Lightning,1,2006,5,1-0,1.000
Anaheim Ducks,1,2007,5,0-1,.000
Washington Capitals,1,1998,5,0-1,.000
Totals,27,,151,11-16,.407
