Player,Replaced,Team,Price,Reason for replacement
Tim Jenniskens,Taeke Taekema,Delhi Wave Riders,"$ 20,000",Back injury
Lovedeep Singh,Rahul Shikpkar,Delhi Wave Riders,"$ 2,800",Knee injury
Liam de Young,Sergi Enrique,Mumbai Magicians,"$ 25,000",
Khadangbam Rinel Singh,Amon Mirash Tirkey,Ranchi Rhinos,"$ 2,800",
Tarandeep Singh,Sukhmanjit Singh,Ranchi Rhinos,"$ 2,800",
Russell Ford,Syed Kashif Shah,Punjab Warriors,"$ 20,000",Player released
Steven Edwards,Rashid Mehmood,Mumbai Magicians,"$ 20,000",Player released
Jason Wilson,Fareed Ahmed,Mumbai Magicians,"$ 20,000",Player released
Glenn Simpson,Imran Butt,Mumbai Magicians,"$ 15,000",Player released
Tim Deavin,Muhammad Tousiq,Mumbai Magicians,"$ 15,000",Player released
Bosco Pérez-Pla,Muhammad Irfan,Ranchi Rhinos,"$ 15,000",Player released
Dean Couzins,Muhammad Rizwan Jr,Delhi Wave Riders,"$ 25,000",Player released
Andy Hayward,Muhammad Rizwan Jr,Delhi Wave Riders,"$ 25,000",Player released
