Body,Radius ( km ),Type - notes,Refs r · M
Asterope 233,49.836 ± 0.573,belt asteroid type T / type K,· M
Pholus 5145,49.5 +7.5 −7,centaur,· M
Nausikaa 192,49.388 ± 0.619,belt asteroid type S,·
Thebe Jupiter XIV,49.3 ± 2,moon of Jupiter,· M
Lutetia 21,49 ± 1,belt asteroid type M,·
Luscinia 713,48.984 ± 0.438,outer belt asteroid type C,· M
Kalypso 53,48.631 ± 13.299,belt asteroid type XC,·
Laurentia 162,48.511 ± 0.247,belt asteroid type STU / type Ch,· M
Tercidina 345,48.4325 ± 0.4905,belt asteroid type C,·
Notburga 626,48.42 ± 2.335,belt asteroid type CX / type Xc,·
Henrietta 225,47.967 ± 0.625,belt asteroid type F ; Cybele asteroid,· M
Abastumani 1390,47.925 ± 1.142,outer belt asteroid type P,· M
Euforbo 4063,47.809 ± 0.339,Jupiter trojan ( L 4 ) type D,· M
Tisiphone 466,47.748 ± 0.175,belt asteroid type C,· M
Adria 143,47.689 ± 0.349,belt asteroid type C,· M
Arsinoë 404,47.485 ± 0.476,belt asteroid type C,·
Artemis 105,47.432 ± 11.611,belt asteroid type C,·
Proserpina 26,47.4 ± 0.85,belt asteroid type S,·
Philosophia 227,47.318 ± 1.278,belt asteroid,· M
Kolga 191,47.268 ± 0.217,belt asteroid type XC / type Cb,· M
