Rank,Name,Nationality,# 1,# 2,# 3,Result,Notes
1,Lynn Davies,Great Britain,7.72,x,x,7.72,q
2,Leonid Barkovskyy,Soviet Union,7.62,7.69,x,7.69,q
3,Andrzej Stalmach,Poland,7.55,7.58,7.61,7.61,q
4,Miroslav Hutter,Czechoslovakia,7.60,x,7.52,7.60,q
5,Tõnu Lepik,Soviet Union,7.60,x,-,7.60,q
6,Milan Babić,Yugoslavia,7.14,7.38,7.51,7.51,"q , NR"
7,Raycho Tsonev,Bulgaria,7.33,7.29,7.22,7.33,
8,Ján Solčany,Czechoslovakia,7.09,7.07,7.03,7.09,
9,Jacinto Segura,Spain,5.15,7.08,6.85,7.08,
10,Pierluigi Gatti,Italy,x,x,6.89,6.89,
,József Hossala,Hungary,x,x,x,NM,
