#,Artist,Artist 's nationality,Title
1,Anton featuring DJ Ötzi,Austria,Anton aus Tirol
2,Rednex,Sweden,The Spirit of the Hawk
3,ATC,Germany United Kingdom Australia,Around the World ( La La La La La )
4,Bomfunk MC 's,Finland United Kingdom,Freestyler
5,Bon Jovi,United States,It 's My Life
6,Zlatko,Germany,Ich vermiss dich ... ( wie die Hölle )
7,Santana featuring The Product G & B,Mexico,Maria Maria
8,Zlatko & Jürgen,Germany,Großer Bruder
9,Ayman,Germany / Tunisia,Mein Stern
10,Britney Spears,United States,Lucky
11,French Affair,Germany,My Heart Goes Boom ( La Di Da Da )
12,Die 3 . Generation,Germany,Leb !
13,Reamonn,Germany,Supergirl
14,Melanie C,United Kingdom,I Turn To You
15,Britney Spears,United States,Oops ! ... I Did It Again
16,Madonna,United States,American Pie
17,Vengaboys,Netherlands,Shalala Lala
18,Gigi D'Agostino,Italy,Bla Bla Bla
19,HIM,Finland,Join Me in Death
20,Metallica,United States,Nothing Else Matters ( live )
