Rank,Release Date,Film Title,Studio,Gross ( RM ),Note
1,27 Apr,The Avengers,Walt Disney Pictures,"33,983,028","The Avengers scored the second-best Friday 's opening day in 2012 and became the top 4-day opening weekend gross for the year 2012 until it is surpassed by The Amazing Spider-Man . It is the second-best opening of all time in Malaysia for the films released by Walt Disney Pictures until the record was taken over by other MCU films . In second week , The Avengers dropped by just 25.6% , grossing RM7,410,498 and became the highest-grossing film in 2012 . At week 4 release in Malaysia , it became the second film to surpass US $ 10 million in Malaysia . It was retained in cinema for 15 weeks"
2,5 July,The Amazing Spider-Man,Sony Pictures Entertainment,"21,993,313","Scored the highest opening weekend in 2012 surpassing The Avengers , The Amazing Spider-Man is the 2nd-highest-grossing film in Malaysia for the year 2012"
3,1 Nov,Skyfall,Sony Pictures Entertainment,"20,325,814","Skyfall opened at RM7,595,365 during its first weekend to claim the third-highest opening weekend in 2012 . Skyfall 's overall gross surpassed Quantum of Solace 's total gross of RM11,496,806 . It was also the third film of the year to surpass RM20 million"
4,20 Dec,CZ12,Golden Screen Cinemas,"20,278,439",The first ever Chinese film to top the box office at # 1 for three consecutive weeks
5,12 April,Battleship,United International Pictures,"19,999,042","Battleship opened at RM7,394,405 for its first 4 days opening weekend and became the fourth-highest opening weekend gross film for 2012"
6,19 Jul,The Dark Knight Rises,Warner Brothers,"17,477,430","The Dark Knight Rises opened at RM6,972,371 , which doubled the opening weekend gross of its predecessor back in 2008 . The opening weekend gross was already 66% of overall gross of The Dark Knight . Using the currency rates in 2012 , box office of The Dark Knight Rises is 60% ahead of The Dark Knight , while 65% if using the currency rates in 2008 . It was retained at IMAX theatre for 8 weeks , which was the longest record for any other films . As for normal halls , it was retained for 17 weeks , behind Madagascar 3 : Europe 's Most Wanted ' s 24 weeks record"
7,24 May,Men in Black 3,Sony Pictures Entertainment,"16,055,988",
8,16 Aug,The Expendables 2,N/A,"15,128,364","The Expendables doubled The Expendables total gross of RM6,518,821 back in 2010"
9,13 Dec,The Hobbit : An Unexpected Journey,Warner Brothers,"15,100,342","No box office record of The Lord of the Rings trilogy so no comparison could be done with The Hobbit : An Unexpected Journey . It could be assumed that with 10 years of inflation , the latter grossed more than any of the trilogy"
10,19 Jan,Journey 2 : The Mysterious Island,Warner Brothers,"13,568,921",Journey 2 : The Mysterious Island tripled the overall gross of Journey to the Center of the Earth back in 2008
