Game,Year,Platform,Publisher ( s )
Ninja Tower,2004,Mobile,Nuvo Studios
Loveny 's Picture Book,2006,Mobile,Cave
Switch,2008,Mobile,Cave
Espgaluda II,2010,iOS,Cave
DoDonPachi Resurrection,2010,iOS,Cave
Mushihimesama Bug Panic,2010,iOS,Cave
Deathsmiles,2011,iOS,Cave
Espgaluda II HD,2011,iOS,Cave
Bug Princess,2011,iOS,Cave
DoDonPachi Blissful Death,2012,iOS,Cave
DoDonPachi Resurrection HD,2012,iOS,Cave
Bug Princess 2,2012,iOS,Cave
Bug Princess 2 Black Label,2012,iOS,Cave
Espgaluda II,2012,Android,G-Gee
DoDonPachi Resurrection,2012,Android,G-Gee
DoDonPachi Maximum,2012,"iOS , Windows Phone",Cave
Mushihimesama BUG PANIC,2013,Android,G-Gee
Deathsmiles,2013,Android,G-Gee
Hello Kitty Puzzle Chains,2014,"iOS , Android",Mobage
Don Paccin,2014,"iOS , Android",Mobage
