Pick #,MLS team,Player,Position,Affiliation
37,MetroStars,Daniel Alvarez,M,Furman University
38,New England Revolution,Adam Eyre,D,Santa Clara University
39,New England Revolution,Bo Oshoniyi,GK,Atlanta Silverbacks ( A-League )
40,San Jose Earthquakes,Andrew Hemmerich,D,Stanford University
41,D.C. United,Michael Burke,F,Charleston Battery ( A-League )
42,Tampa Bay Mutiny,Amos Magee,F,Minnesota Thunder ( A-League )
43,Colorado Rapids,Lance Key,D,Trinity University
44,Chicago Fire,John Wolyniec,F,Long Island Rough Riders ( A-League )
45,Columbus Crew,Christof Lindenmayer,F,Loyola College in Maryland
46,Dallas Burn,Brian Piesner,M,Rutgers University
47,Los Angeles Galaxy,Josh Henderson,F,Lehigh Valley Steam ( A-League )
48,MetroStars,Orlando Perez,M,Orange County Zodiac ( A-League )
