Show,Station,Ending Date,Type,Original run
Blue Exorcist,JNN,October 2,Anime,"April 17 , 2011 - October 2 , 2011"
Double-J,Nippon TV,September 14,Anime,"June 29 , 2011 - September 14 , 2011"
Fractale,Fuji TV,March 31,Anime,"January 13 , 2011 - March 31 , 2011"
Infinite Stratos,TBS,March 31,Anime,"January 6 , 2011 - March 31 , 2011"
Itsuka Tenma no Kuro Usagi,TV Saitama,September 24,Anime,"July 8 , 2011 - September 24 , 2011"
Kamen Rider OOO,TV Asahi,August 28,tokusatsu,"September 5 , 2010 - August 28 , 2011"
Karakuri Samurai Sesshaawan 1,TV Shizuoka,October 2,Tokusatsu,"July 3 , 2011 - October 2 , 2011"
Kaseifu no Mita,Nippon TV,December 21,Drama,"October 12 , 2011 - December 21 , 2011"
Kitty 's Paradise peace,TV Tokyo,March 29,children 's variety,"October 7 , 2008 - March 29 , 2011"
Maji de Watashi ni Koi Shinasai !,tvk,December 17,Anime,"October 1 , 2011 - December 17 , 2011"
Mawaru Penguindrum,MBS,December 22,Anime,"July 7 , 2011 - December 22 , 2011"
Mito Kōmon,TBS,December 19,jidaigeki,"August 4 , 1969 - December 19 , 2011"
Mitsu no Aji : A Taste of Honey,Fuji TV,December 22,Drama,"October 13 , 2011 - December 22 , 2011"
Nazotoki wa Dinner no Ato de,Fuji TV,December 20,Drama,"October 18 , 2011 - December 20 , 2011"
Rebound,Nippon TV,June 29,Drama,"April 27 , 2011 - June 29 , 2011"
Sgt . Frog,TV Tokyo,April 2,anime,"April 3 , 2004 - April 2 , 2011"
SKE48 no Magical Radio,Nippon TV,December 27,Variety show,"October 11 , 2011 - December 27 , 2011"
Tensou Sentai Goseiger,TV Asahi,February 6,tokusatsu,"February 14 , 2010 - February 6 , 2011"
Tiger & Bunny,MBS,September 17,Anime,"April 2 , 2011 - September 17 , 2011"
Transformers Animated,TV Tokyo,December 25,Anime,"April 3 , 2010 - December 25 , 2011"
