Name,Party,Electoral district
Gerry Ritz,Conservative,Battlefords - Lloydminster
Lynne Yelich,Conservative,Blackstrap
David L. Anderson,Conservative,Cypress Hills - Grasslands
Rob Clarke,Conservative,Desnethé - Missinippi - Churchill River
Ray Boughen,Conservative,Palliser
Randy Hoback,Conservative,Prince Albert
Tom Lukiwski,Conservative,Regina - Lumsden - Lake Centre
Andrew Scheer,Conservative,Regina - Qu'Appelle
Bradley Trost,Conservative,Saskatoon - Humboldt
Kelly Block,Conservative,Saskatoon - Rosetown - Biggar
Maurice Vellacott,Conservative,Saskatoon - Wanuskewin
Ed Komarnicki,Conservative,Souris - Moose Mountain
Ralph Goodale,Liberal,Wascana
Garry Breitkreuz,Conservative,Yorkton - Melville
