Call letters,Channel,Network ( s ),City and state,Meaning or notes
KECI-TV,13 PSIP 13,13.1 NBC ( then a CBS affiliate ) 13.2 MeTV,"Missoula , Montana",E agle C ommunications I ncorporated . Flagship of NBC Montana
KECY-TV,9 PSIP 9,9.1 Fox 9.2 ABC 9.3 The CW 35.4 KESE-LP,"El Centro , California","K E l C entro , California- Y uma , Arizona ; digital subchannel 9.2 brands by its cable channel assignment on 5 , and digital subchannel 9.3 by its cable channel number , 6"
KEDT,23 PSIP 16,PBS,"Corpus Christi , Texas",ED ucational T elevision
KEET,11 PSIP/cable 13,PBS,"Eureka , California",E ureka E ducational T elevision
KELO-TV,11 PSIP 11,11.1 CBS 11.2 MyNetworkTV,"Sioux Falls , South Dakota",KELO ( pronounced as hello )
KEMO-TV,32 PSIP 50,Azteca America,"Santa Rosa , California",Pronounced KE y- MO . Formerly KFTY
KEMV,13 PSIP 6,PBS,"Mountain View , Arkansas",E ducational M ountain V iew
KENS,29 PSIP/cable 5,CBS,"San Antonio , Texas",K E xpress- N ews S ervice ( Former partner ) ( Originally KEYL )
KENV-DT,10 PSIP 10,NBC,"Elko , Nevada","E lko N e V ada . Semisatellite of KRNV Reno , Nevada"
KENW,32 PSIP/cable 3,PBS,"Portales , New Mexico",E astern N e W Mexico University ( owner )
KEPB-TV,29 PSIP 28,PBS,"Eugene , Oregon",E ugene P ublic B roadcasting ; satellite of KOPB Portland
KEPR-TV,18 PSIP 19,19.1 CBS 18.2 The CW,"Pasco , Washington","KE nnewick , P asco and R ichland . Semi-satellite station of KIMA Yakima , Washington ; digital subchannel 18.2 rebroadcasts KIMA DT2"
KERA-TV,14 PSIP 13,PBS,"Dallas , Texas",A new ERA in broadcasting
KERO-TV,10 PSIP 23,23.1 ABC 42.2 KZKC-LP,"Bakersfield , California",KER n C O unty
KESD-TV,8 PSIP 8,PBS,"Brookings , South Dakota",E ducational S outh D akota
KESQ-TV,28 PSIP 42,42.1 ABC 38.2 KPSP-CD 42.4 KDFX-CD 33.2 KDFX-CD 2.3 KCWQ-LD 42.7 KUNA-LP 15.1 KUNA-LP,"Palm Springs , California",K ESQ uire Magazine ( former owner )
KETA-TV,13 PSIP 13,PBS,"Oklahoma City , Oklahoma",O klahoma E ducational T elevision A uthority
KETC,23 PSIP/cable 9,PBS,"St. Louis , Missouri",K E ducational T elevision C hannel
KETD,46 PSIP 53,Estrella TV,"Castle Rock , Colorado",E strella T V D enver
KETG,13 PSIP 9,PBS,"Arkadelphia , Arkansas",
