Opponent,S,Occurrences,GP,Rec,%
Montreal Canadiens,16,"1930 , 1932 , 1933 , 1935 , 1950 , 1956 , 1957 , 1967 , 1969 , 1972 , 1974 , 1979 , 1986 , 1996 , 2014 , 2017",73,9-7,.562
Philadelphia Flyers,11,"1974 , 1979 , 1980 , 1982 , 1983 , 1985 , 1986 , 1987 , 1995 , 1997 , 2014",54,5-6,.455
Boston Bruins,10,"1927 , 1928 , 1929 , 1939 , 1940 , 1958 , 1970 , 1972 , 1973 , 2013",47,3-7,.429
Washington Capitals,9,"1986 , 1990 , 1991 , 1994 , 2009 , 2011 , 2012 , 2013 , 2015",55,5-4,.556
Toronto Maple Leafs,8,"1929 , 1932 , 1933 , 1937 , 1940 , 1942 , 1962 , 1971",35,5-3,.625
New York Islanders,8,"1975 , 1979 , 1981 , 1982 , 1983 , 1984 , 1990 , 1994",39,3-5,.375
Pittsburgh Penguins,7,"1989 , 1992 , 1996 , 2008 , 2014 , 2015 , 2016",37,2-5,.286
New Jersey Devils,6,"1992 , 1994 , 1997 , 2006 , 2008 , 2012",34,4-2,.667
Montreal Maroons,5,"1928 , 1931 , 1934 , 1935 , 1937",13,3-2,.600
Chicago Blackhawks,5,"1931 , 1968 , 1971 , 1972 , 1973",24,1-4,.200
Detroit Red Wings,5,"1933 , 1937 , 1941 , 1948 , 1950",23,1-4,.200
Los Angeles Kings,3,"1979 , 1981 , 2014",11,2-1,.667
New York Americans,2,"1929 , 1938",5,1-1,.500
Ottawa Senators,2,"2012 , 2017",13,1-1,.500
Buffalo Sabres,2,"1978 , 2007",9,0-2,.000
Calgary Flames,1,1980,4,1-0,1.000
Colorado Avalanche,1,1995,6,1-0,1.000
Florida Panthers,1,1997,5,1-0,1.000
Ottawa Senators ( original ),1,1930,2,1-0,1.000
Pittsburgh Pirates,1,1928,2,1-0,1.000
