Pos,No,Driver,Constructor,Lap,Gap
1,3,Michael Schumacher,Ferrari,1:20.974,-
2,1,Mika Häkkinen,McLaren - Mercedes,1:21.052,+0.078
3,4,Rubens Barrichello,Ferrari,1:21.416,+0.442
4,2,David Coulthard,McLaren - Mercedes,1:21.422,+0.448
5,9,Ralf Schumacher,Williams - BMW,1:21.605,+0.631
6,22,Jacques Villeneuve,BAR - Honda,1:21.963,+0.989
7,6,Jarno Trulli,Jordan - Mugen-Honda,1:22.006,+1.032
8,5,Heinz-Harald Frentzen,Jordan - Mugen-Honda,1:22.135,+1.161
9,18,Pedro de la Rosa,Arrows - Supertec,1:22.185,+1.211
10,7,Eddie Irvine,Jaguar - Cosworth,1:22.370,+1.396
11,10,Jenson Button,Williams - BMW,1:22.385,+1.411
12,19,Jos Verstappen,Arrows - Supertec,1:22.421,+1.447
13,17,Mika Salo,Sauber - Petronas,1:22.443,+1.469
14,11,Giancarlo Fisichella,Benetton - Playlife,1:22.569,+1.595
15,8,Johnny Herbert,Jaguar - Cosworth,1:22.781,+1.807
16,16,Pedro Diniz,Sauber - Petronas,1:22.841,+1.867
17,23,Ricardo Zonta,BAR - Honda,1:22.882,+1.908
18,14,Jean Alesi,Prost - Peugeot,1:22.894,+1.920
19,12,Alexander Wurz,Benetton - Playlife,1:23.010,+2.036
20,15,Nick Heidfeld,Prost - Peugeot,1:23.033,+2.059
