House,Opera,Composer,First production
Kent Opera,The Turn of the Screw,Benjamin Britten,1979
Kent Opera,The Marriage of Figaro,Mozart,1981
Wexford Festival Opera,Sakùntala,Franco Alfano,1982
Kent Opera,King Priam,Michael Tippett,1983
English National Opera,Rienzi,Wagner,1983
English National Opera,Xerxes,Handel,1985
Paris Opéra,Giulio Cesare,Handel,1987
Royal Opera,Kuningas lähtee Ranskaan ( The King Goes Forth To France ),Aulis Sallinen,1987
Royal Opera,The Knot Garden,Michael Tippett,1988
English National Opera,The Magic Flute,Mozart,1988
Grand Théâtre de Genève,Le Nozze di Figaro,Mozart,1989
Glyndebourne,La clemenza di Tito,Mozart,1991
English National Opera,The Force of Destiny,Verdi,1992
"Bavarian State Opera , Munich",Don Giovanni,Mozart,1994
"Théâtre du Châtelet , Paris",The Cunning Little Vixen,Janáček,1995
English National Opera,Xerxes,Handel,2002
Glyndebourne,Così fan tutte,Mozart,2006
Royal Opera,Don Carlo,Verdi,2008
Metropolitan Opera,Don Carlo,Verdi,2010
