,Landmark name,Location,City or town
842,Arcata and Mad River Rail Road Company,330 Railroad Ave,Blue Lake
543,California 's First Drilled Oil Wells,Mattole Rd . & Front St. 40°19′28″N 124°17′13″W / 40.324383°N 124.287083°W / 40.324383 ; -124.287083 ( California 's First Drilled Oil Wells ),Petrolia
215,Camp Curtis,L.K . Wood Blvd-Frontage Rd . 40°53′28″N 124°04′46″W / 40.891039°N 124.079575°W / 40.891039 ; -124.079575 ( Camp Curtis ),Arcata
173,Centerville Beach Cross,Centerville Rd . 40°34′11″N 124°21′06″W / 40.5698°N 124.35155°W / 40.5698 ; -124.35155 ( Centerville Beach Cross ),Ferndale
477,City of Eureka,City 40°48′13″N 124°09′59″W / 40.803706°N 124.1664°W / 40.803706 ; -124.1664 ( City of Eureka ),Eureka
883,Ferndale,Historic district 40°34′36″N 124°15′48″W / 40.576667°N 124.263333°W / 40.576667 ; -124.263333 ( Ferndale ),Ferndale
154,Fort Humboldt,3431 Fort Ave. 40°46′37″N 124°11′20″W / 40.776944°N 124.188889°W / 40.776944 ; -124.188889 ( Fort Humboldt ),Eureka
882,Humboldt Harbor Historical District,Harold Larsen Vista Pt . 40°45′14″N 124°12′55″W / 40.753758°N 124.215203°W / 40.753758 ; -124.215203 ( Humboldt Harbor Historical District ),Eureka
783,Jacoby Building,8th & H ( SE Corner ),Arcata
164,The Old Arrow Tree,40°52′01″N 123°57′01″W / 40.866861°N 123.950158°W / 40.866861 ; -123.950158 ( The Old Arrow Tree ),Korbel
838,Old Indian Village of Tsurai,41°03′34″N 124°08′35″W / 41.059444°N 124.143056°W / 41.059444 ; -124.143056 ( Old Indian Village of Tsurai ),Trinidad
216,Town of Trinidad,Historic district 41°03′33″N 124°08′35″W / 41.059167°N 124.143056°W / 41.059167 ; -124.143056 ( Town of Trinidad ),Trinidad
146,Trinidad Head,Hwy 101 41°03′16″N 124°09′03″W / 41.054308°N 124.150914°W / 41.054308 ; -124.150914 ( Trinidad Head ),Trinidad
