Year,Winner ( average in final ),Score,Runner-Up ( average in final )
1995,Raymond van Barneveld,4 - 3,Richie Burnett
1996,Martin Adams,4 - 2,Mervyn King
2000,Martin Adams ( 97.05 ),5 - 4,Steve Beaton ( 92.70 )
2001,Raymond van Barneveld,5 - 1,Andy Fordham
2002,Tony David ( 96.03 ),6 - 4,Mervyn King ( 95.07 )
2003,Raymond van Barneveld ( 94.23 ),6 - 1,Mervyn King ( 88.05 )
2004,Raymond van Barneveld ( 94.17 ),5 - 1,Ted Hankey ( 81.21 )
2005,Mervyn King ( 99.30 ),5 - 4,Martin Adams ( 99.48 )
2007,Gary Anderson ( 100.32 ),5 - 4,Mark Webster ( 96.45 )
2008,Gary Anderson ( 99.21 ),5 - 4,Scott Waites ( 93.75 )
2009,Darryl Fitton ( 93.94 ),5 - 2,Martin Adams ( 97.00 )
2010,Ross Montgomery ( 94.17 ),5 - 4,Robbie Green ( 93.81 )
2011,Scott Waites ( 99.62 ),5 - 4,Darryl Fitton ( 97.91 )
2012,Stephen Bunting ( 97.62 ),5 - 0,Alan Norris ( 92.67 )
2013,James Wilson ( 91.10 ),5 - 1,Stephen Bunting ( 88.45 )
2014,Jamie Hughes ( 96.12 ),5 - 0,Gary Robson ( 86.22 )
2015,Glen Durrant ( 100.83 ),5 - 2,Martin Adams ( 97.35 )
2016,Glen Durrant ( 97.33 ),5 - 3,Jamie Hughes ( 89.53 )
2017,Danny Noppert ( 95.03 ),5 - 3,Jim Williams ( 86.97 )
2018,Glen Durrant ( 100.60 ),5 - 3,Richard Veenstra ( 92.11 )
