Year,Gold,Silver,Bronze,Host city ( cities ),Host country
1984,Japan,China,South Korea,Kushiro and Tomakomai,Japan
1985,Japan,South Korea,Australia,Seoul,South Korea
1986,Japan,China,South Korea,Adelaide,Australia
1987,North Korea,China,Japan,Jilin,China
1988,China,Japan,South Korea,Bendigo,Australia
1989,Japan,South Korea,China,Hachinohe,Japan
1990,Japan,China,South Korea,Seoul,South Korea
1991,Japan,China,North Korea,Jilin,China
1992,Japan,North Korea,China,Harutori,Japan
1993,Kazakhstan,Japan,South Korea,Seoul,South Korea
1994,Kazakhstan,South Korea,Japan,Beijing,China
1995,Japan,Kazakhstan,China,Obihiro,Japan
1996,Kazakhstan,South Korea,Japan,Ust-Kamenogorsk,Kazakhstan
1997,Japan,Kazakhstan,South Korea,Seoul,South Korea
1998,South Korea,Japan,China,Harbin,China
1999,Japan,South Korea,China,Nikko,Japan
2000,North Korea,South Korea,China,Changchun City,China
2001,South Korea,China,Australia,Seoul,South Korea
2002,China,Australia,New Zealand,Auckland,New Zealand
