Pos,No,Driver,Constructor,Lap,Gap
1,1,Michael Schumacher,Ferrari,1:35.220,-
2,2,Rubens Barrichello,Ferrari,1:35.319,+0.099
3,5,Ralf Schumacher,Williams - BMW,1:35.511,+0.291
4,3,Mika Häkkinen,McLaren - Mercedes,1:36.040,+0.820
5,12,Jarno Trulli,Jordan - Honda,1:36.180,+0.960
6,6,Juan Pablo Montoya,Williams - BMW,1:36.218,+0.998
7,10,Jacques Villeneuve,BAR - Honda,1:36.397,+1.177
8,4,David Coulthard,McLaren - Mercedes,1:36.417,+1.197
9,11,Heinz-Harald Frentzen,Jordan - Honda,1:36.578,+1.358
10,9,Olivier Panis,BAR - Honda,1:36.681,+1.461
11,16,Nick Heidfeld,Sauber - Petronas,1:36.913,+1.693
12,18,Eddie Irvine,Jaguar - Cosworth,1:37.140,+1.920
13,22,Jean Alesi,Prost - Acer,1:37.406,+2.186
14,17,Kimi Räikkönen,Sauber - Petronas,1:37.728,+2.508
15,19,Luciano Burti,Jaguar - Cosworth,1:38.035,+2.815
16,7,Giancarlo Fisichella,Benetton - Renault,1:38.086,+2.866
17,8,Jenson Button,Benetton - Renault,1:38.258,+3.038
18,14,Jos Verstappen,Arrows - Asiatech,1:38.509,+3.289
19,23,Gastón Mazzacane,Prost - Acer,1:39.006,+3.786
20,20,Tarso Marques,Minardi - European,1:39.714,+4.494
