Title,Year,Role,Notes
Lady Blue,1985,Lionel Viland,Episode : Beasts of Prey
Slow Burn,1986,Donnie Fleischer,Television film
21 Jump Street,1987-1990,"Officer Thomas Tom Hanson , Jr",70 episodes
Hotel,1987,Rob Cameron,Episode : Unfinished Business
The Vicar of Dibley,1999,Himself,Episode : Celebrity Party
The Fast Show,2000,Himself,Episode : The Last Ever Fast Show
King of the Hill,2004,Yogi Victor ( voice ),Episode : Hank 's Back
SpongeBob SquarePants,2009,Jack Kahuna Laguna / JKL ( voice ),Episode : SpongeBob vs . The Big One
Life 's Too Short,2011,Himself,Episode 2
Family Guy,2012,Edward Scissorhands ( voice ),Episode : Lois Comes Out of Her Shell
