Dance,Best dancer,Best score,Worst dancer,Worst score
Cha Cha Cha,Katarzyna Cichopek,35,Paweł Deląg Jakub Wesołowski,27
Waltz,Katarzyna Cichopek Małgorzata Foremniak,40,Jakub Wesołowski,24
Quickstep,Małgorzata Foremniak,36,Jakub Wesołowski,26
Rumba,Katarzyna Cichopek,40,Jakub Wesołowski Piotr Adamski,26
Jive,Małgorzata Foremniak,39,Piotr Gąsowski Hanna Śleszyńska,29
Tango,Małgorzata Foremniak,40,Jakub Wesołowski,23
Foxtrot,Małgorzata Foremniak,36,Jakub Wesołowski,28
Paso Doble,Małgorzata Foremniak,37,Jakub Wesołowski,28
Samba,Katarzyna Cichopek,39,Conrado Moreno,23
Freestyle,Katarzyna Cichopek Małgorzata Foremniak,40,-,-
