Medal,Name,Sport,Event
Gold,Egon Zimmermann,Alpine skiing,Men 's downhill
Gold,Pepi Stiegler,Alpine skiing,Men 's slalom
Gold,Christl Haas,Alpine skiing,Women 's downhill
Gold,Josef Feistmantl Manfred Stengl,Luge,Men 's doubles
Silver,Karl Schranz,Alpine skiing,Men 's giant slalom
Silver,Edith Zimmermann,Alpine skiing,Women 's downhill
Silver,Erwin Thaler Adolf Koxeder Josef Nairz Reinhold Durnthaler,Bobsleigh,Four-man
Silver,Regine Heitzer,Figure skating,Women 's singles
Silver,Reinhold Senn Helmut Thaler,Luge,Men 's doubles
Bronze,Pepi Stiegler,Alpine skiing,Men 's giant slalom
Bronze,Traudl Hecher,Alpine skiing,Women 's downhill
Bronze,Leni Thurner,Luge,Women 's singles
