Title,Director,Cast,Genre
The Awakening,Mike Newell,"Charlton Heston , Susannah York , Jill Townsend",Horror
Babylon,Franco Rosso,"Brinsley Forde , Karl Howman , Trevor Laird",Crime/drama
Bad Timing,Nicolas Roeg,"Art Garfunkel , Theresa Russell , Harvey Keitel",Mystery
Brothers and Sisters,Richard Woolley,"Sam Dale , Carolyn Pickles , Jennifer Armitage",Crime
The Dogs of War,John Irvin,"Christopher Walken , Tom Berenger",Action
The Elephant Man,David Lynch,"Anthony Hopkins , John Hurt , Anne Bancroft",Historical drama
The Falls,Peter Greenaway,"Peter Westley , Aad Wirtz , Michael Murray",Mockumentary
The Fiendish Plot of Dr. Fu Manchu,Piers Haggard,"Peter Sellers , Helen Mirren",Comedy
Flash Gordon,Mike Hodges,"Sam J. Jones , Melody Anderson",Sci-fi/fantasy
The Gamekeeper,Ken Loach,,
George and Mildred,Peter Frazer-Jones,"Yootha Joyce , Brian Murphy",Comedy
The Great Rock ' n ' Roll Swindle,Julien Temple,"Malcolm McLaren , Steve Jones , Sid Vicious",Mockumentary
Hawk the Slayer,Terry Marcel,"Jack Palance , John Terry",Adventure
Hussy,Matthew Chapman,"Helen Mirren , John Shea",Drama
The Long Good Friday,John Mackenzie,"Bob Hoskins , Helen Mirren",Crime drama
McVicar,Tom Clegg,"Roger Daltrey , Adam Faith , Cheryl Campbell",Crime biopic
The Mirror Crack 'd,Guy Hamilton,"Angela Lansbury , Edward Fox , Kim Novak , Elizabeth Taylor",Mystery
The Monster Club,Roy Ward Baker,"Vincent Price , John Carradine",Horror
Never Never Land,Paul Annett,"Petula Clark , Cathleen Nesbitt",Drama
North Sea Hijack,Andrew V. McLaglen,"Roger Moore , James Mason",Adventure
