Team,Manager,Location,Venue,Capacity
Aktobe,Vladimir Mukhanov,Aktobe,Central Stadium,"13,200"
Almaty,Bernd Storck,Almaty,Central Stadium,"23,804"
Astana,Vyacheslav Ledovskih,Astana,Kazhymukan Munaitpasov Stadium,"12,350"
Atyrau,Sergey Andreyev,Atyrau,Munaishy Stadium,"9,500"
Energetic-2,Vladimir Linchevskiy,Ekibastuz,Shakhter,"6,300"
Esil Bogatyr,Evgeny Yarovenko,Petropavl,Karasai Stadium,"11,000"
Irtysh,Oirat Saduov,Pavlodar,Central Stadium,"15,000"
Kairat,Vakhid Masudov,Almaty,Central Stadium,"23,804"
Kaisar,Vladimir Nikitenko,Kyzylorda,Gani Muratbayev Stadium,"7,000"
Megasport,Vladimir Gulyamkhaidarov,Almaty,Central Stadium,"23,804"
Okzhetpes,Viktor Rymar,Kokshetau,Okzhetpes Stadium,"4,158"
Ordabasy,Jovica Nikolić,Shymkent,Kazhimukan Munaitpasov Stadium,"20,000"
Shakhter Karagandy,Ivan Azovskiy,Karagandy,Shakhter Stadium,"20,000"
Tobol,Dmitriy Ogai,Kostanay,Central Stadium,"8,323"
Vostok,Oleksandr Holokolosov,Oskemen,Vostok Stadium,"8,500"
Zhetysu,Ilie Karp,Taldykorgan,Zhetysu Stadium,"4,000"
