Medal,Name,Sport,Event
Gold,Yevgeniy Redkin ( Russia ),Biathlon,Men 's 20 km
Gold,Anfisa Reztsova ( Russia ),Biathlon,Women 's 7.5 km sprint
Gold,Lyubov Yegorova ( Russia ),Cross-country skiing,Women 's 10 km pursuit ( freestyle )
Gold,Lyubov Yegorova ( Russia ),Cross-country skiing,Women 's 15 km ( classical )
Gold,Yelena Välbe Raisa Smetanina Larisa Lazutina Lyubov Yegorova ( all from Russia ),Cross-country skiing,Women 's 4 × 5 km relay
Gold,Viktor Petrenko ( Ukraine ),Figure skating,Men 's singles
Gold,Natalia Mishkutenok Artur Dmitriev ( both from Russia ),Figure skating,Pairs
Gold,Marina Klimova Sergei Ponomarenko ( both from Russia ),Figure skating,Ice dancing
Gold,Unified team men 's national ice hockey team Sergei Bautin Igor Boldin Nikolai Borschevskiy Vyacheslav Butsayev Vyacheslav Bykov Evgeny Davydov Darius Kasparaitis ( Lithuania ) Nikolai Khabibulin Yuri Khmylev Andrei Khomutov Andrei Kovalenko Alexei Kovalev Igor Kravchuk Vladimir Malakhov Dmitri Mironov Sergei Petrenko Vitali Prokhorov Mikhail Shtalenkov Andrei Trefilov Dmitri Yushkevich Alexei Zhamnov Alexei Zhitnik ( Ukraine ) Sergei Zubov,Ice hockey,Men 's competition
Silver,Svetlana Petcherskaia ( Russia ),Biathlon,Women 's 15 km
Silver,Valeriy Medvedtsev ( Russia ) Alexandr Popov ( Belarus ) Valeri Kiriyenko ( Russia ) Sergei Tchepikov ( Russia ),Biathlon,Men 's 4 × 7.5 km relay
Silver,Lyubov Yegorova ( Russia ),Cross-country skiing,Women 's 5 km ( classical )
Silver,Lyubov Yegorova ( Russia ),Cross-country skiing,Women 's 30 km ( freestyle )
Silver,Elena Bechke Denis Petrov ( both from Russia ),Figure skating,Pairs
Silver,Yelizaveta Kozhevnikova ( Russia ),Freestyle skiing,Women 's moguls
Bronze,Yelena Belova ( Russia ),Biathlon,Women 's 7.5 km sprint
Bronze,Yelena Belova Anfisa Reztsova Yelena Melnikova ( all from Russia ),Biathlon,Women 's 3 × 7.5 km relay
Bronze,Yelena Välbe ( Russia ),Cross-country skiing,Women 's 5 km ( classical )
Bronze,Yelena Välbe ( Russia ),Cross-country skiing,Women 's 10 km pursuit ( freestyle )
Bronze,Yelena Välbe ( Russia ),Cross-country skiing,Women 's 15 km ( classical )
