Event,Gold,Silver,Bronze
50m Running Target,Ihor Kizyma ( UKR ),Benoit Germain ( FRA ),Stanislav Los ( UKR )
50m Running Target TEAM,Ukraine,Finland,France
50m Running Target Mixed,Ihor Kizyma ( UKR ),Heikki Lähdekorpi ( FIN ),Jani Suoranta ( FIN )
50m Running Target Mixed TEAM,Ukraine,Finland,Germany
Trap,Carlo Mancarella ( ITA ),Filip Praj ( SVK ),Nemanja Smiljanić ( SRB )
Trap TEAM,Italy,Czech Republic,Serbia
Double Trap,Nathan Lee Xuereb ( MLT ),Kirill Fokeev ( RUS ),Roman Zagumennov ( RUS )
Double Trap TEAM,Russia,Italy,Great Britain
Skeet,Domenico Simeone ( ITA ),Nicolas Vasiliou ( CYP ),Tammaro Cassandro ( ITA )
Skeet TEAM,Italy,Cyprus,Czech Republic
