Station,,Division,Line,Services,Opened
004 Fourth Avenue *,1,B ( IND ),Culver Line,F ​ G,"October 7 , 1933"
007 Seventh Avenue,1,B ( BMT ),Brighton Line,B ​ Q,"August 1 , 1920"
007 Seventh Avenue,1,B ( IND ),Culver Line,F < F > ​ G,"October 7 , 1933"
008 Eighth Avenue,1,B ( BMT ),Sea Beach Line,N ​ W,"June 22 , 1915"
009 Ninth Avenue,1,B ( BMT ),West End Line,D,"June 24 , 1916"
009 Ninth Street *,1,B ( BMT ),Fourth Avenue Line,D ​ N ​ R ​ W,"June 22 , 1915"
0 15th Street-Prospect Park,1,B ( IND ),Culver Line,F ​ G,"October 7 , 1933"
0 18th Avenue,1,B ( IND ),Culver Line,F < F > ​,"March 16 , 1919"
0 18th Avenue,1,B ( BMT ),Sea Beach Line,N ​ W,"June 22 , 1915"
0 18th Avenue,1,B ( BMT ),West End Line,D,"June 24 , 1916"
0 20th Avenue,1,B ( BMT ),Sea Beach Line,N ​ W,"June 22 , 1915"
0 20th Avenue,1,B ( BMT ),West End Line,D,"June 29 , 1916"
0 25th Avenue,1,B ( BMT ),West End Line,D,"June 29 , 1916"
0 25th Street,1,B ( BMT ),Fourth Avenue Line,D ​ N ​ R ​ W,"June 22 , 1915"
0 36th Street **,1,B ( BMT ),Fourth Avenue Line,D ​ N ​ R ​ W,"June 22 , 1915"
0 45th Street,1,B ( BMT ),Fourth Avenue Line,N ​ R ​ W,"June 22 , 1915"
0 50th Street,1,B ( BMT ),West End Line,D,"June 24 , 1916"
0 53rd Street,1,B ( BMT ),Fourth Avenue Line,N ​ R ​ W,"June 22 , 1915"
0 55th Street,1,B ( BMT ),West End Line,D,"June 24 , 1916"
0 59th Street **,1,B ( BMT ),Fourth Avenue Line,N ​ R ​ W,"June 22 , 1915"
