Year,Title,role,Channel,Notes
2007,Ssshhhh ... Phir Koi Hai - Yakshi,Episode 36,Star One,Episodic Role
2008,Champs,Raj,UTV Bindass,
2008,Kaisi Laagi Lagan,Swayam,Sahara One,
2009-2010,Aapki Antara,Sameer,Zee TV,
2010,Seven,Haryaksh,Sony TV,
2010-2012,Bhagonwali-Baante Apni Taqdeer,Guddu Shukla,Zee TV,
2012-2013,Love Marriage Ya Arranged Marriage,Anoop Sisodya,Sony TV,
2013,Rab Se Sohna Isshq,N/A,Zee TV,
2013,Fear Files,N/A,Zee TV,
2014,Encounter,Inspector Tilak Nambiyar ( Episode 23 ),Sony TV,Episodic Role
2014,Yeh Hai Aashiqui,Inspector Mayur,Bindass,
2014-2015,Airlines,Rohit Mafatlal,Star Plus,
2014,Box Cricket League,Himself,Sony Entertainment Television,Player for Ahmadabad Express
2015,Nach Baliye 7,Himself,Star Plus,Winner
2015,Ek Nayi Ummeed - Roshni,Dr. Sameer Purohit,Life Ok,Parallel Lead
2016,Fear Factor : Khatron Ke Khiladi 7,Himself eliminated in 1st week,Colors,Contestant
2015-2016,Box Cricket League Season 2,Himself,Colors,Captain of Team Chennai Swaggers
2016,Darr Sabko Lagta Hai,Nirvaan,& TV,Episode twenty three
2016,Gangster Ki Girlfriend,Abu Saleem,ABP News,Documentary on Abu Saleem and Monica Bedi
2017,Shankar Jaikishan 3 in 1,Prem,SAB TV,Negative Role
