Rank,Artist,Album,Peak position,Sales,Certification
1,David Guetta,Nothing but the Beat,2,"160,000",2x Platinum
2,Il Divo,Wicked Game,11,"40,000",Gold
3,Rihanna,Talk That Talk,3,"30,000",TBA
4,Various Artists,Songs for Japan,3,"8,000",TBA
5,Seether,Holding Onto Strings Better Left to Fray,3,"5,000",TBA
6,The Script,Science & Faith,6,TBA,TBA
7,Tiësto,Club Life : Volume One Las Vegas,7,TBA,TBA
8,Andrea Bocelli,Concerto : One Night in Central Park,16,TBA,TBA
9,Chickenfoot,Chickenfoot III,19,TBA,TBA
10,Lykke Li,Wounded Rhymes,19,TBA,TBA
