Name,Location,Date,Year,Death toll,Notes
Bremen school shooting,"Bremen , Germany",June 20,1913,5 ( 4 by gunfire ),"29-year-old unemployed teacher Heinz Schmidt indiscriminately shot at students and teachers , killing four girls and wounding more than twenty others before being subdued by school staff . A fifth girl also died during the incident when she fell down a staircase"
Wilno school massacre,"Wilno , Second Polish Republic ( now Vilnius , Lithuania )",May 6,1925,5 ( including both perpetrators ),"A student of Joachim Lelewel High School , Stanisław Ławrynowicz , fired shots and detonated a hand grenade which killed him , two students and a teacher while sitting Matura ( final exams ) . His friend , Janusz Obrąbalski attempted to detonate another grenade , which turned out to be faulty . Obrąbalski then committed suicide by shooting himself in the head . A bomb left by the two was later found in one of the classrooms"
Kungälv school shooting,"Kungälv , Sweden",March 4,1961,1,"A 17-year-old student fired fifteen bullets into a crowd at a school dance at Kungälvs Läroverk ( aka Thorildskolan ) , killing one student and wounding six others before escaping . He turned himself in to local police the following morning and was arrested"
Cologne school massacre,"Cologne , Germany",June 11,1964,11 ( including the perpetrator ),"42-year-old Walter Seifert attacked numerous students and adults with a home-made flamethrower , killing eight students before murdering his last two victims , both female teachers , with a spear . He then swallowed parathion , and died the following day"
St John 's School,"Dundee , United Kingdom",November 1,1967,1,"Armed with a shotgun , Robert Mone entered a girls ' needlework class at St John 's School . He subjected the 14- and 15-year-old pupils and their pregnant teacher , Nanette Hanson , to a 1½-hour ordeal , before shooting Hanson dead , raping one girl , and sexually assaulting another"
Zadar school shooting,"Zadar , Yugoslavia",October,1972,2,19-year-old student Milorad Vulinović shot and killed two of his professors using his father 's stolen gun
Eppstein school shooting,"Eppstein , Germany",June 3,1983,6 ( including the perpetrator ),"34-year-old Czech refugee Karel Charva opened fire in a sixth-grade classroom , first shooting and wounding the teacher , then killing three students and injuring fourteen others . He then killed a teacher and a police officer who tried to intervene before committing suicide . An additional thirty children suffered from shock during the incident"
Ferres Comprehensive School,"Higham Ferrers , England , United Kingdom",January 6,1988,0,"Three months after he was expelled , Darren Fowler returned to his former school , Ferres Comprehensive School , shooting and wounding two teachers and two pupils before he was overpowered by staff"
Raumanmeri school shooting,"Rauma , Finland",January 24,1989,2,Two students were fatally shot by a 14-year-old student at the Raumanmeri secondary school . The shooter had claimed to be a victim of bullying
Aarhus University shooting,"Aarhus , Denmark",April 5,1994,3 ( including the perpetrator ),35-year-old student Flemming Nielsen shot and killed two people and wounded two others with a sawed-off shotgun before taking his own life
Dunblane massacre,"Dunblane , United Kingdom",March 13,1996,19 ( including the perpetrator and the unborn child ),"43-year-old Thomas Hamilton opened fire in a gymnasium , killing sixteen children and one adult and injuring fifteen others before committing suicide . It remains the deadliest attack on children in British history . A ban on the ownership of handguns was introduced in the United Kingdom ( with the exception of Northern Ireland ) following the massacre"
ROC de Leijgraaf,"Veghel , Netherlands",December 7,1999,0,"A 17-year-old student opened fire at ROC de Leijgraaf school , wounding three students and one teacher . One student was critically injured . It was the first school shooting in the history of the Netherlands"
Erfurt massacre,"Erfurt , Germany",April 26,2002,17 ( including the perpetrator ),"19-year-old Robert Steinhäuser began shooting through his former school , targeting teachers and faculty members . Twelve teachers and one administrator were killed , along with two students and a police officer ; only one other person was injured . The shooter then committed suicide"
Coburg shooting,"Coburg , Germany",July 3,2003,1 ( the perpetrator ),"A 16-year-old student , known only as Florian K. , shot and wounded his teacher and an intervening school psychiatrist before taking his own life"
Terra College,"The Hague , Netherlands",January,2004,1,"A student shot the school principal , Hans van Wieren , in the head"
Rötz school shooting,"Rötz , Germany",March 7,2005,0,"After being ordered to leave the classroom , a 14-year-old student returned with a gun and threatened the life of the 35-year-old class teacher . During a struggle the weapon was fired and taken from the student . Investigators ' findings state that the student did not intend to kill the teacher , but himself . No one was injured"
Geschwister Scholl School attack,"Emsdetten , Germany",November 20,2006,1 ( the perpetrator ),"18-year-old Bastian Bosse , a former student of the school , fired several shots with two sawed-off rifles and a caplock pistol and also threw several homemade smoke bombs before killing himself . The incident ended with no other fatalities , with 37 people being injured , including four students who suffered gunshot wounds , one teacher wounded by being hit in the face with a smoke bomb , sixteen police officers who suffered from smoke inhalation , and the school custodian who was shot in the abdomen inside the school"
Jokela school shooting,"Tuusula , Finland",November 7,2007,9 ( including the perpetrator ),"18-year-old Pekka-Eric Auvinen opened fire in the school 's main hallway , killing six students , school principal Helena Kalmi , and the school nurse before shooting and wounding himself in a suicide attempt ; he later died at a hospital . One other person suffered gunshot wounds , and eleven people were injured by shattering glass while escaping from the school building . The day before the incident , Auvinen posted a video on YouTube predicting the massacre at the school"
Kauhajoki school shooting,"Kauhajoki , Finland",September 23,2008,11 ( including the perpetrator ),"22-year-old student Matti Juhani Saari entered the school via the basement and opened fire in a classroom he attended before setting it on fire with homemade Molotov cocktails and then fleeing the scene . Nine students and one staff member died in the incident . A woman was shot in the head and critically wounded , but survived after having two operations , while ten other students sustained minor injuries such as sprains and cuts from broken glass . Authorities eventually found Saari , who had shot himself but was still alive ; he died a short time later . It was assumed that the Jokela case , the previous year ( above ) , inspired Saari to commit the massacre"
Winnenden school shooting,"Winnenden , Germany",March 11,2009,16 ( including the perpetrator ),"17-year-old Tim Kretschmer , a former student of the school , opened fire in two classrooms and a chemistry laboratory , killing nine and injuring seven others . He then successfully escaped the school , killing two female teachers in the process . Afterwards , he shot and killed the caretaker of a psychiatric facility and then carjacked a motorist , who drove him into another town before escaping unharmed . The shooter opened fire in a car showroom after unsuccessfully trying to steal a car , killing two and injuring two others . He then committed suicide after a brief shootout with police"
