Year,Film,Director
2012,Trouble with the Curve,Robert Lorenz
2011,J. Edgar,Clint Eastwood
2010,Hereafter,Clint Eastwood
2009,Invictus,Clint Eastwood
2008,Gran Torino,Clint Eastwood
2008,Changeling,Clint Eastwood
2006,Letters from Iwo Jima,Clint Eastwood
2006,Flags of Our Fathers,Clint Eastwood
2004,Million Dollar Baby,Clint Eastwood
2003,Mystic River,Clint Eastwood
2002,Blood Work,Clint Eastwood
2000,Space Cowboys,Clint Eastwood
1996,Dear God,Garry Marshall
1990,Impulse,Sondra Locke
1988,Shakedown on the Sunset Strip,Walter Grauman
