Team,2012 Copa Libertadores,2012 Copa Sudamericana,2012 Recopa Sudamericana,2012 FIFA Club World Cup
Atlético Goianiense,N/A,Round of 16 eliminated by Universidad Católica,N/A,N/A
Bahia,N/A,Second Stage eliminated by São Paulo,N/A,N/A
Botafogo,N/A,Second Stage eliminated by Palmeiras,N/A,N/A
Corinthians,Champions defeated Boca Juniors,N/A,N/A,Champions defeated Chelsea
Coritiba,N/A,Second Stage eliminated by Grêmio,N/A,N/A
Figueirense,N/A,Second Stage eliminated by Atlético Goianiense,N/A,N/A
Flamengo,Eliminated in the Second Stage,N/A,N/A,N/A
Fluminense,Quarterfinals eliminated by Boca Juniors,N/A,N/A,N/A
Grêmio,N/A,Quarterfinals eliminated by Millonarios,N/A,N/A
Internacional,Round of 16 eliminated by Fluminense,N/A,N/A,N/A
Palmeiras,N/A,Round of 16 eliminated by Millonarios,N/A,N/A
Santos,Semifinals eliminated by Corinthians,N/A,Champions defeated Universidad de Chile,N/A
São Paulo,N/A,Champions defeated Tigre,N/A,N/A
Vasco da Gama,Quarterfinals eliminated by Corinthians,N/A,N/A,N/A
