No,Pos,Player,Previous club,Notes,Date
26,FW,Andy Herron,Limón Fútbol Club,Free,"January 25 , 2012"
2,MF,Alfonso Motagalvan,Rochester Rhinos,Free,"February 3 , 2012"
3,DF,Scott Lorenz,Sporting Kansas City,Free,"February 13 , 2012"
19,FW,Halili Nagime,Auckland City FC,Free,"February 15 , 2012"
17,MF,Conor Shanosky,D.C. United,Season-long loan,"March 3 , 2012"
13,DF,Jack Stewart,Minnesota Stars FC,Traded Martin Nuñez,"March 6 , 2012"
14,MF,Abel Gebor,Fort Lauderdale Schulz Academy,Open tryout,"March 13 , 2012"
1,GK,Dave Martin,Atlanta Silverbacks Reserves,Open tryout,"March 16 , 2012"
12,DF,Emilio Orozco,Tigres,Season-long loan,"March 19 , 2012"
20,FW,Mark Anderson,Barry University,NASL Combine,"March 21 , 2012"
15,FW,Aly Hassan,Nova Southeastern University,Free,"March 24 , 2012"
21,FW,Darnell King,Florida Atlantic University,NASL Combine,"March 27 , 2012"
22,GK,Lionel Brown,University of Connecticut,Open tryout,"March 27 , 2012"
23,MF,Hosman Ramos,Blue Star Honduras,Successful trial,"March 27 , 2012"
6,DF,Nickardo Blake,University of Connecticut,Free,"March 28 , 2012"
25,MF,Nicolas Clavijo,Atletico de Atenas,Free,"April 5 , 2012"
83,DF,Scott Gordon,Chivas USA,Free,"July 12 , 2012"
31,FW,Paulo Jr,Real Salt Lake,Short-term loan,"July 17 , 2012"
18,MF,Michael Tetteh,Seattle Sounders FC,Short-term loan,"August 24 , 2012"
