Body,Radius ( km ),Type,Remarks - shape,Refs r · M
2004 UX 10 144897,199 ± 19.5,plutino,-,·
Mimas Saturn I,198.2 ± 0.4,moon of Saturn,"round ( smallest body currently known to have an ellipsoidal shape , but not in hydrostatic equilibrium )",·
1998 SN 165 35671,196.5 ± 19.5,cubewano,-,· M
Ilmarë Varda I,180.5 +24 −19,moon of 174567 Varda,-,· M
Nereid Neptune II,178.5 ± 6.5,moon of Neptune,probably irregular in shape,· M
2001 UR 163 42301,≈ 176,resonant KBO ( 4:9 ),-,· M
1996 TL 66 15874,169.5 ± 10,SDO,-,· M
2004 XA 192 230965,169.5 +60 −47.5,SDO,-,· M
2002 WC 19 119979,≈ 169,resonant KBO ( 1:2 ) ; binary,-,·
Interamnia 704,166 ± 3,belt asteroid type F,scalene ellipsoid ; likely in hydrostatic equilibrium,·
Hiʻiaka Haumea I,≈ 160,moon of Haumea,probably irregular in shape,·
2010 TY 53,≈ 158,extended centaur,-,· M
2010 TJ,≈ 158,SDO,-,· M
1999 CD 158 469306,≈ 155,resonant KBO ( 4:7 ),-,·
Europa 52,152.0 ± 1.8,belt asteroid type C,irregular shape,·
2004 EW 95 120216,145.5,plutino,-,· M
Davida 511,145.2 ± 1.1,belt asteroid type C,irregular shape,·
2002 TX 300 55636,143 ± 5,cubewano ; Haumea family,-,· M
Sylvia 87,143 ± 5.5,outer belt asteroid type X ; trinary,irregular shape,·
Actaea Salacia I,143 ± 12,moon of 120347 Salacia,-,· M
