Medal,Name,Sport,Event,Date
Gold,"Louis Chaillot , Maurice Perrin",Cycling,Men 's tandem,3 August
Gold,Xavier Lesage,Equestrian,Individual dressage,10 August
Gold,"André Jousseaume , Xavier Lesage , Charles Marion",Equestrian,Team dressage,10 August
Gold,"Georges Buchard , Philippe Cattiau , Fernand Jourdant , Jean Piot , Bernard Schmetz , Georges Tainturier",Fencing,Men 's team épée,7 August
Gold,"René Bondoux , René Bougnol , Philippe Cattiau , Edward Gardère , René Lemoine , Jean Piot",Fencing,Men 's team foil,1 August
Gold,Jacques Lebrun,Sailing,Snowbird class,12 August
Gold,Raymond Suvigny,Weightlifting,Men 's 60 kg,31 July
Gold,René Duverger,Weightlifting,Men 's 67.5 kg,30 July
Gold,Louis Hostin,Weightlifting,Men 's 82.5 kg,30 July
Gold,Charles Pacôme,Wrestling,Men 's freestyle lightweight,3 August
Silver,Louis Chaillot,Cycling,Men 's sprint,3 August
Silver,"Paul Chocque , Amédée Fournier , René Le Grèves , Henri Mouillefarine",Cycling,Men 's team pursuit,2 August
Silver,Charles Marion,Equestrian,Individual dressage,10 August
Silver,Georges Buchard,Fencing,Men 's épée,9 August
Silver,Jean Taris,Swimming,Men 's 400 m freestyle,10 August
Bronze,Paul Winter,Athletics,Men 's discus throw,3 August
Bronze,Charles Rampelberg,Cycling,Men 's 1000 m time trial,1 August
Bronze,"Pierre Brunet , Anselme Brusa , André Giriat",Rowing,Men 's coxed pair,13 August
Bronze,Louis François,Wrestling,Men 's Greco-Roman bantamweight,7 August
