Cyclone,Season,Peak classification,Peak 1-min sustained winds,Pressure
Cuba,1924,Category 5 hurricane,270 km/h ( 165 mph ),910 hPa ( 26.87 inHg )
Cuba,1932,Category 5 hurricane,280 km/h ( 175 mph ),915 hPa ( 27.02 inHg )
Labor Day,1935,Category 5 hurricane,295 km/h ( 185 mph ),892 hPa ( 26.34 inHg )
Janet,1955,Category 5 hurricane,280 km/h ( 175 mph ),914 hPa ( 26.99 inHg )
Esther,1961,Category 5 hurricane,260 km/h ( 160 mph ),919 hPa ( 27.14 inHg )
Hattie,1961,Category 5 hurricane,270 km/h ( 165 mph ),914 hPa ( 26.99 inHg )
Camille,1969,Category 5 hurricane,280 km/h ( 175 mph ),900 hPa ( 26.58 inHg )
Allen,1980,Category 5 hurricane,305 km/h ( 190 mph ),899 hPa ( 26.55 inHg )
Gloria,1985,Category 4 hurricane,230 km/h ( 145 mph ),919 hPa ( 27.14 inHg )
Gilbert,1988,Category 5 hurricane,295 km/h ( 185 mph ),888 hPa ( 26.22 inHg )
Hugo,1989,Category 5 hurricane,260 km/h ( 160 mph ),918 hPa ( 27.11 inHg )
Opal,1995,Category 4 hurricane,240 km/h ( 150 mph ),916 hPa ( 27.05 inHg )
Mitch,1998,Category 5 hurricane,285 km/h ( 180 mph ),905 hPa ( 26.72 inHg )
Isabel,2003,Category 5 hurricane,270 km/h ( 165 mph ),915 hPa ( 27.02 inHg )
Ivan,2004,Category 5 hurricane,270 km/h ( 165 mph ),910 hPa ( 26.87 inHg )
Katrina,2005,Category 5 hurricane,280 km/h ( 175 mph ),902 hPa ( 26.64 inHg )
Rita,2005,Category 5 hurricane,285 km/h ( 180 mph ),895 hPa ( 26.43 inHg )
Wilma,2005,Category 5 hurricane,295 km/h ( 185 mph ),882 hPa ( 26.05 inHg )
Dean,2007,Category 5 hurricane,280 km/h ( 175 mph ),905 hPa ( 26.72 inHg )
Irma,2017,Category 5 hurricane,285 km/h ( 180 mph ),914 hPa ( 26.99 inHg )
