No,Name,Party,Date of Appointment,Date of Retirement
1,Parsottambhai Rupala,Bharatiya Janata Party,03-Apr-2018,02-Apr-2024
2,Mansukh L. Mandaviya,Bharatiya Janata Party,03-Apr-2018,02-Apr-2024
3,Subrahmanyam Jaishankar,Bharatiya Janata Party,06-Jul-2019,18-Aug-2023
4,Jugalji Mathurji Thakor,Bharatiya Janata Party,06-Jul-2019,18-Aug-2023
5,Chunibhai K Gohel,Bharatiya Janata Party,10-Apr-2014,09-Apr-2020
6,Shambhuprasad Tundiya,Bharatiya Janata Party,10-Apr-2014,09-Apr-2020
7,Lal Sinh Vadodia,Bharatiya Janata Party,10-Apr-2014,09-Apr-2020
8,Naranbhai Rathwa,Indian National Congress,03-Apr-2018,02-Apr-2024
9,Amee Yajnik,Indian National Congress,03-Apr-2018,02-Apr-2024
10,Ahmed Patel,Indian National Congress,19-Aug-2017,18-Aug-2023
11,Madhusudan Mistry,Indian National Congress,10-Apr-2014,09-Apr-2020
