Song title,Artist,Decade,Genre
Dirty Little Secret,The All American Rejects,2000s,Rock
Real World,The All American Rejects,2000s,Rock
Christmas Is The Time To Say I Love You,Billy Squier,1980s,Rock
What 's My Age Again,Blink-182,1990s,Punk
Adam 's Song,Blink-182,2000s,Punk
Drunken Lullabies,Flogging Molly,2000s,Punk
Requiem For A Dying Song,Flogging Molly,2000s,Punk
Underneath It All,No Doubt,2000s,Pop
Do n't Speak,No Doubt,1990s,Rock
Blue Christmas,The Pretenders,1980s,Rock
Mean Woman Blues,Roy Orbison,1960s,Rock
You Got It,Roy Orbison,1980s,Rock
Never Let You Go '09,Third Eye Blind,2000s,Rock
Semi-Charmed Life '09,Third Eye Blind,2000s,Rock
