Year,Winner ( s ),Album,Nominees
1992,Luc de Larochellière,Sauvez mon âme,L'Album du peuple - Tome 1 - François Pérusse Kathleen - Kathleen Snob - Les B.B . Vilain Pingouin - Vilain Pingouin
1993,Céline Dion,Dion chante Plamondon,Quand on se donne - Francis Martin À contre-jour - Julie Masse Aux portes du matin - Richard Séguin
1994,François Pérusse,L'Album du peuple - Tome 2,Ça va bien - Kathleen Corridors - Laurence Jalbert Pelchat - Mario Pelchat Europe Tour - Roch Voisine
1995,Roch Voisine,Coup de tête,Obsession - Éric Lapointe Déchaînée - France d'Amour Johanne Blouin chante Noel - Johanne Blouin Y - Lynda Lemay
1996,Céline Dion,D'eux,Beau Dommage - Beau Dommage Carpe diem - Lara Fabian C'est la vie - Mario Pelchat Bohémienne - Marjo
1997,Céline Dion,Live à Paris,Quatre saisons dans le désordre - Daniel Bélanger Pure - Lara Fabian Luce Dufault - Luce Dufault
1998,Marie-Michèle Desrosiers,Marie-Michèle Desrosiers chante les classiques de Noël,Miserere - Bruno Pelletier La force de comprendre - Dubmatique Versions Reno - Ginette Reno Parle pas si forte - Térez Montcalm
1999,Céline Dion,S'il suffisait d'aimer,"Enchantée - Carmen Campagne L'Album du peuple , volume 1 - François Pérusse Grand parleur , petit faiseur - Kevin Parent Lynda Lemay - Lynda Lemay"
2000,La Chicane,En catimini,"D'autres rives - Bruno Pelletier Les fourmis - Jean Leloup Live - Lynda Lemay Notre-Dame de Paris , version integrale - various artists"
2001,Ginette Reno,Un grand Noël d'amour,Seul - Garou Mieux qu'ici bas - Isabelle Boulay Scènes d'amour - Isabelle Boulay L'Opéra du mendiant - Nicola Ciccone
2002,Kevin Parent,Les vents ont changé,Etc ... - Gabrielle Destroismaisons Cordial - La Bottine Souriante Disparu - La Chicane Du coq à l'âme - Lynda Lemay
