Year,Artist,Song,Flanders Chart,Wallonia Chart,At Eurovision
1965,Lize Marke,Als het weer lente is,Unknown,Unknown,15th
1966,Tonia,"Un peu de poivre , un peu de sel",Unknown,Unknown,4th
1967,Louis Neefs,Ik heb zorgen,Unknown,Unknown,7th
1968,Claude Lombard,Quand tu reviendras,Unknown,Unknown,7th
1969,Louis Neefs,Jennifer Jennings,Unknown,Unknown,7th
1970,Jean Vallée,Viens l'oublier,Unknown,Unknown,8th
1971,Jacques Raymond & Lily Castel,"Goeiemorgen , morgen",Unknown,Unknown,14th
1972,Serge & Christine Ghisoland,À la folie ou pas du tout,Unknown,Unknown,17th
1973,Nicole & Hugo,Baby Baby,Unknown,Unknown,17th
1974,Jacques Hustin,Fleur de liberté,Unknown,Unknown,9th
1975,Ann Christy,Gelukkig zijn,Unknown,Unknown,15th
1976,Pierre Rapsat,Judy et Cie,Unknown,Unknown,8th
1977,Dream Express,"A Million in One , Two , Three",Unknown,Unknown,7th
1978,Jean Vallée,L'amour ça fait chanter la vie,Unknown,Unknown,2nd
1979,Micha Marah,Hey Nana,Unknown,Unknown,18th
1980,Telex,Euro-Vision,Unknown,Unknown,17th
1981,Emly Starr,Samson,Unknown,Unknown,13th
1982,Stella Maessen,Si tu aimes ma musique,Unknown,Unknown,4th
1983,Pas de Deux,Rendez-vous,Unknown,Unknown,18th
1984,Jacques Zegers,Avanti la vie,Unknown,Unknown,5th
