Year,Title,Role
2007,Control,Ian Curtis
2008,Franklyn,Milo
2010,13,Vincent Ferro
2010,Brighton Rock,Pinkie Brown
2012,On the Road,Sal Paradise
2012,Byzantium,Darvell
2014,The Dark Valley,Greider
2014,Maleficent,Diaval
2015,Suite Française,Benoit Labarie
2016,Pride and Prejudice and Zombies,Mr. Darcy
2016,Free Fire,Stevo
2017,SS-GB,Douglas Archer
2018,"Happy New Year , Colin Burstead",David
2018,Sometimes Always Never,Peter
2019,Radioactive,Pierre Curie
2019,Maleficent : Mistress of Evil,Diaval
TBA,Rebecca,Jack Favell
