Position,Player,To club,Fee
Goalkeeper,Wan Azraie Wan Teh,T-Team,align=right| 0
Defender,Mohd Faizal Muhammad,T-Team,align=right| 0
Forward,Jean-Emmanuel Effa Owona,Negeri Sembilan FA,align=right| 0
DR,Qhairul Anwar Roslani,Felda United F.C,align=right| 0
DRC,Wan Muhd Firdaus Wan Demi,Kuantan FA,align=right| 0
Defender,Ahmad Abdul Fattah Abdullah,Kuantan FA,align=right| 0
DMC,Khairan Ezuan Razali,T-Team,align=right| 0
AMR,Shamsul Kamal Mohamad,T-Team,align=right| 0
AMRL,G. Puaneswaran,Negeri Sembilan FA,align=right| 0
ST,Farderin Kadir,Sime Darby F.C,align=right| 0
ST,Mohd Fahmi Izzuddin Mohd Zuki,Kuantan FA,align=right| 0
ST,Muhd Zul Helmi Jamaluddin,Kuantan FA,align=right| 0
Assistant Coach,Rosdi Talib,Hanelang F.C,align=right| 0
GK,Syed Adney,ATM FA,align=right| 0
GK,Mohd Shahrul Nizam Mohd Shukri,T-Team,align=right| 0
MF,Mohd Hasrol Syawal Hamid,T-Team,align=right| 0
MF,Mohd Ramzi Sufian,Harimau Muda B,align=right| 0
DL,Nik Zul Aziz Nawawi,T-Team,align=right| 0
