Event,Time,Name,Nationality,Date,Location
50m freestyle,21.44,Bruno Fratus,Brazil,24 August 2014,"Gold Coast , Australia"
100m freestyle,47.82,Cameron McEvoy,Australia,22 August 2014,"Gold Coast , Australia"
200m freestyle,1:44.75,Ian Thorpe,Australia,26 August 2002,"Yokohama , Japan"
400m freestyle,3:41.83,Ian Thorpe,Australia,22 August 1999,"Sydney , Australia"
800m freestyle,7:43.74,Zane Grothe,United States,12 August 2018,"Tokyo , Japan"
1500m freestyle,14:41.65,Grant Hackett,Australia,28 August 2002,"Yokohama , Japan"
50m backstroke,24.82,Nick Thoman,United States,19 August 2010,"Irvine , United States"
100m backstroke,51.94,Ryan Murphy,United States,10 August 2018,"Tokyo , Japan"
200m backstroke,1:53.57,Ryan Murphy,United States,12 August 2018,"Tokyo , Japan"
50m breaststroke,27.26,Felipe Silva,Brazil,20 August 2010,"Irvine , United States"
100m breaststroke,59.04,Kosuke Kitajima,Japan,19 August 2010,"Irvine , United States"
200m breaststroke,2:07.75,Ippei Watanabe,Japan,12 August 2018,"Tokyo , Japan"
50m butterfly,23.03,César Cielo,Brazil,18 August 2010,"Irvine , United States"
100m butterfly,50.75,Caeleb Dressel,United States,11 August 2018,"Tokyo , Japan"
200m butterfly,1:53.80,Michael Phelps,United States,17 August 2006,"Victoria , Canada"
200m individual medley,1:54.43,Ryan Lochte,United States,21 August 2010,"Irvine , United States"
400m individual medley,4:07.59,Ryan Lochte,United States,19 August 2010,"Irvine , United States"
4×100m freestyle relay,3:11.74,( 48.13 ) Michael Phelps ( 47.98 ) Ryan Lochte ( 48.12 ) Jason Lezak ( 47.51 ) Nathan Adrian,United States,20 August 2010,"Irvine , United States"
4×200m freestyle relay,7:03.84,( 1:45.62 ) Michael Phelps ( 1:46.46 ) Peter Vanderkaay ( 1:46.49 ) Ricky Berens ( 1:45.27 ) Ryan Lochte,United States,19 August 2010,"Irvine , United States"
4×100m medley relay,3:29.94,( 53.10 ) Matt Grevers ( 58.64 ) Kevin Cordes ( 50.60 ) Michael Phelps ( 47.60 ) Nathan Adrian,United States,24 August 2014,"Gold Coast , Australia"
