Team,Head coach,Captain,Kit manufacturer,Shirt sponsor
Army United,Alexandré Pölking,Chaiwat Nak-iem,Pan,Chang
Bangkok Glass,Attaphol Buspakom,Teeratep Winothai,Umbro,Leo Beer
Bangkok United,Sasom Pobprasert,Nattaporn Phanrit,FBT,True
BEC Tero Sasana,José Alves Borges,Rangsan Viwatchaichok,FBT,FB Battery
Buriram United,Alejandro Menéndez,Suchao Nutnum,-,Chang
Chainat,Surachai Jaturapattarapong,Yuttajak Kornchan,Kappa,-
Chiangrai United,Anurak Srikerd,Teerasak Po-on,DEFFO,Leo Beer
Chonburi,Withaya Laohakul,Pipob On-Mo,Nike,Chang
Muangthong United,René Desaeyere,Datsakorn Thonglao,Grand Sport,SCG
Osotspa Saraburi,Chalermwoot Sa-Ngapol,Jetsada Puanakunmee,Grand Sport,M-150
Pattaya United,Jadet Meelarp,Niweat Siriwong,Grand Sport,True
INSEE Police,Thawatchai Damrong-Ongtrakul,Surachart Sareepim,KELA,INSEE Cement
Ratchaburi,Iván Palanco,Prayad Boonya,Umbro,Mitr Phol
Samut Songkhram,Somchai Chuayboonchum,Puthasas Boonpok,Kool Sport,-
Sisaket,Narong Suwannachot,Phusit Pongsura,Joma,Muang Thai
Songkhla United,Sampan Yotatip Pitaya Pimanmaen,Chairat Madsiri,FBT,ManA
Suphanburi,Phayong Khunnaen,Jetsada Boonruangrod,Grand Sport,Chang
TOT,Somchai Subpherm,Takahiro Kawamura,-,TOT
