Name,Event,Country,Record,Type
Andy González,800 metres,Cuba,1:46.11,CR
Wilfredo Martínez,Long jump,Cuba,8.31 m,CR
Leevan Sands,Triple jump,Bahamas,17.29 m,CR
Jefferson Pérez,20000 m walk ( track ),Ecuador,1:20:54.9,CR
Anay Tejeda,100 metres hurdles,Cuba,12.61,CR NR
Aleesha Barber,100 metres hurdles,Trinidad and Tobago,12.98,NR
Semoy Hackett Ayanna Hutchinson Sasha Springer-Jones Kelly-Ann Baptiste,4×100 metre relay,Trinidad and Tobago,43.43,NR
Mabel Gay,Triple jump,Cuba,14.19 m,CR
Candice Scott,Hammer throw,Trinidad and Tobago,69.26,CR
Eli Johana Moreno,Hammer throw,Colombia,67.09,NR
