Team,Location,Federal subject,Position in 1950
Bokelj,Kotor,SR Montenegro,N/A
Budućnost,Titograd,SR Montenegro,N/A
Dinamo Pančevo,Pančevo,SAP Vojvodina,N/A
Kvarner,Rijeka,SR Croatia,007 7th
Metalac Zagreb,Zagreb,SR Croatia,008 8th
Odred Ljubljana,Ljubljana,SR Slovenia,005 5th
Proleter Osijek,Osijek,SR Croatia,006 6th
Proleter Zrenjanin,Zrenjanin,SAP Vojvodina,N/A
Rabotnički,Skopje,SR Macedonia,N/A
Radnički Belgrade,Belgrade,SR Serbia,N/A
Rudar Trbovlje,Trbovlje,SR Slovenia,N/A
Tekstilac,Varaždin,SR Croatia,N/A
Vardar,Skopje,SR Macedonia,009 9th
Velež,Mostar,SR Bosnia and Herzegovina,N/A
NK Zagreb,Zagreb,SR Croatia,N/A
Željezničar Sarajevo,Sarajevo,SR Bosnia and Herzegovina,010 10th
