NM #,Monument name,Description,Townland,Location
310,Baldongan Church,Church & Tower,Baldongan,53°33′11″N 6°07′44″W / 53.55316°N 6.128776°W / 53.55316 ; -6.128776 ( Baldongan Church and Tower )
437,Ballyedmonduff Wedge Tomb,Wedge Tomb,Ballyedmonduff,53°13′45″N 6°13′34″W / 53.229167°N 6.2262°W / 53.229167 ; -6.2262
590,Balrothery Tower,Church Tower,Balrothery,53°35′12″N 6°11′24″W / 53.586546°N 6.190072°W / 53.586546 ; -6.190072 ( Balrothery Tower )
291,Brennanstown Portal Tomb,Portal Tomb,Brennanstown,53°15′14″N 6°09′32″W / 53.253794°N 6.158762°W / 53.253794 ; -6.158762
32,Clondalkin Round Tower,Round Tower & Cross,Clondalkin,53°19′19″N 6°23′43″W / 53.322065°N 6.395374°W / 53.322065 ; -6.395374 ( Clondalkin Tower )
285,Tully 's Castle,Castle,Clondalkin,53°19′15″N 6°23′24″W / 53.320812°N 6.389957°W / 53.320812 ; -6.389957 ( Tully 's Castle )
444,Archbold 's Castle,Castle,Dalkey,53°16′40″N 6°06′23″W / 53.27789°N 6.106422°W / 53.27789 ; -6.106422 ( Archbold 's Castle )
33,Dalkey Island Church,Church,Dalkey Island,53°16′22″N 6°05′08″W / 53.272685°N 6.085509°W / 53.272685 ; -6.085509 ( Dalkey Island Church )
401,St. Mary 's Abbey,Abbey ( Cistercian ) ( Chapter house ),Northside Dublin,53°20′51″N 6°16′09″W / 53.3475°N 6.269167°W / 53.3475 ; -6.269167 ( St. Mary 's Abbey )
34,St. Audoen 's Church,Church,Southside Dublin,53°20′38″N 6°16′31″W / 53.343889°N 6.275278°W / 53.343889 ; -6.275278 ( St. Audoen 's Church )
,St. Stephen 's Green,Park,Southside Dublin,53°20′17″N 6°15′33″W / 53.338056°N 6.259167°W / 53.338056 ; -6.259167 ( St. Stephen 's Green )
230,Dunsoghly Castle,Castle,Dunsoghly,53°25′37″N 6°19′06″W / 53.426936°N 6.318277°W / 53.426936 ; -6.318277 ( Dunsoghly Castle )
276,Glencullen Standing Stone,Standing Stone,Glencullen,53°13′11″N 6°13′03″W / 53.219771°N 6.217385°W / 53.219771 ; -6.217385 ( Glencullen Standing Stone )
605,Grange Abbey,Church,Donaghmede,53°23′57″N 6°09′38″W / 53.399075°N 6.160429°W / 53.399075 ; -6.160429 ( Grange Abbey )
36,Howth Church,Church,Howth,53°23′15″N 6°03′57″W / 53.387515°N 6.065961°W / 53.387515 ; -6.065961 ( Howth Church )
226,Kilgobbin Cross,Cross,Kilgobbin,53°15′23″N 6°13′04″W / 53.256478°N 6.217806°W / 53.256478 ; -6.217806 ( Kilgobbin High Cross )
"207 , 587",Kill of the Grange,"Church , Well & Bullaun Stone",Kill of the Grange,"53°16′53″N 6°09′40″W / 53.281378°N 6.160987°W / 53.281378 ; -6.160987 ( Kill of the Grange Church , Well and Bullaun Stone )"
35,Cill Iníon Léinín,Church,Killiney,53°15′17″N 6°06′59″W / 53.254727°N 6.116315°W / 53.254727 ; -6.116315 ( Killiney Church )
675,Kilmainham Gaol,Prison,Kilmainham,53°20′31″N 6°18′35″W / 53.341944°N 6.309722°W / 53.341944 ; -6.309722 ( Kilmainham Gaol )
493,Kilmashogue,Wedge Tomb,Rathfarnham,53°15′02″N 6°16′02″W / 53.250558°N 6.267231°W / 53.250558 ; -6.267231 ( Kilmashogue )
